iteration	likelihood	noise_sigma_SSL_surf_IFN1_data0	noise_sigma_SSL_surf_none_data0	s1	s2	sf
2000	-6726.10560787569	999.875715127138	999.93126197489	0.192186323346582	0.63127367261272	0.00142890757621642
2010	-6726.10560787569	999.875715127138	999.93126197489	0.192186323346582	0.63127367261272	0.00142890757621642
2020	-6726.33982965663	999.875715127138	999.93126197489	0.192186323346582	0.642631910268602	0.00142890757621642
2030	-6726.96784129941	999.875715127138	999.93126197489	0.1912984633611	0.635863713486874	0.00141258144757808
2040	-6727.60598240072	999.875715127138	999.93126197489	0.190683396728735	0.680949056909866	0.0014427473006309
2050	-6724.90552297887	999.875715127138	999.956483803867	0.190683396728735	0.615997612726783	0.00143294916486053
2060	-6725.26855579667	999.875715127138	999.956483803867	0.190683396728735	0.608676987521997	0.00143294916486053
2070	-6725.09898552916	999.875715127138	999.956483803867	0.190683396728735	0.632464492245294	0.00143306971167442
2080	-6726.40609635311	999.875715127138	999.956483803867	0.194610385489433	0.643338227154573	0.00143954166925727
2090	-6725.40100128318	999.875715127138	999.956483803867	0.198096198363621	0.604591600497243	0.00142310213482139
2100	-6724.92139545234	999.875715127138	999.956483803867	0.196893258009662	0.602834617690565	0.00142310213482139
2110	-6724.92139545234	999.875715127138	999.956483803867	0.196893258009662	0.602834617690565	0.00142310213482139
2120	-6725.03579219295	999.875715127138	999.956483803867	0.196893258009662	0.602834617690565	0.00141116485741791
2130	-6725.61767842168	999.875715127138	999.956483803867	0.196893258009662	0.602834617690565	0.00140166445911128
2140	-6725.61767842168	999.875715127138	999.956483803867	0.196893258009662	0.602834617690565	0.00140166445911128
2150	-6728.54450621985	999.736210354843	999.956483803867	0.196893258009662	0.553702871354082	0.0014002339537459
2160	-6728.82036012132	999.736210354843	999.956483803867	0.196893258009662	0.553702871354082	0.0014228708919893
2170	-6728.80980634252	999.736210354843	999.956483803867	0.197620751842516	0.553702871354082	0.0014228708919893
2180	-6727.57416094054	999.736210354843	999.956483803867	0.195624135341427	0.561606015790028	0.00140720860270633
2190	-6726.40836886886	999.736210354843	999.956483803867	0.199849617943001	0.587837561806419	0.00140712796038029
2200	-6727.05830862768	999.736210354843	999.956483803867	0.19978824620066	0.627308204551367	0.00141722512655845
2210	-6728.18771263401	999.736210354843	999.956483803867	0.199570319307036	0.638778091044645	0.00144215097160498
2220	-6727.30399684137	999.736210354843	999.956483803867	0.196112725536471	0.711336320092486	0.00144215097160498
2230	-6728.52507923579	999.736210354843	999.956483803867	0.197079721433519	0.717428857941756	0.001459526236615
2240	-6728.52507923579	999.736210354843	999.956483803867	0.197079721433519	0.717428857941756	0.001459526236615
2250	-6727.35826143225	999.736210354843	999.956483803867	0.197079721433519	0.685960036710812	0.00144564336047136
2260	-6725.50097825109	999.936986107579	999.956483803867	0.199421119465038	0.685960036710812	0.00143460704059734
2270	-6725.50097825109	999.936986107579	999.956483803867	0.199421119465038	0.685960036710812	0.00143460704059734
2280	-6724.53241610517	999.936986107579	999.956483803867	0.201265225874111	0.59319493296417	0.00142078651759442
2290	-6727.91654754841	999.936986107579	999.956483803867	0.205235864226751	0.637272915177064	0.00137715733035401
2300	-6726.03436557594	999.936986107579	999.956483803867	0.205344680365557	0.625075313510568	0.00137715733035401
2310	-6725.67994890527	999.936986107579	999.956483803867	0.205344680365557	0.625075313510568	0.0013795852910022
2320	-6726.51129698653	999.936986107579	999.956483803867	0.207535408334743	0.625075313510568	0.0013795852910022
