Time	Me-P1	Me-P2	Me-P3	Me-P4	Me-P5	Me-P6	Me-P7	Me-P8	Me-P9
0	0	0	0	0	0	0	0	0	0
3.60000229006794	0	0	0	0	0	0	0	0	0
7.20007282789831	0	0	0	0	0	0	0	0	0
10.8000716648388	0	0	0	0	0	0	0	0	0
14.4000902429696	0	0	0	0	0	0	0	0	0
18.0001661344824	0	0	0	0	0	0	0	0	0
21.6001774949984	0	0	0	0	0	0	0	0	0
25.2001761694459	0	0	0	0	0	0	0	0	0
28.8002147298063	0	0	0	0	0	0	0	0	0
32.4001287891759	0	0	0	0	0	0	0	0	0
36.0003234259658	0	0	0	0	0	0	0	0	0
39.6003767785855	0	0	0	0	0	0	0	0	0
43.2003762733288	0	0	0	0	0	0	0	0	0
46.8003908679002	0	0	0	0	0	0	0	0	0
50.4004881770931	0	0	0	0	0	0	0	0	0
54.0004998857417	0	0	0	0	0	0	0	0	0
57.6005169186216	0	0	0	0	0	0	0	0	0
61.2005279265689	0	0	0	0	0	0	0	0	0
64.8005248203864	0	0	0	0	0	0	0	0	0
68.4005797619734	0	0	0	0	0	0	0	0	0
72.0006200776614	0	0	0	0	0	0	0	0	0
75.600638678129	0	0	0	0	0	0	0	0	0
79.2006170980934	0	0	0	0	0	0	0	0	0
82.8006507360335	0	0	0	0	0	0	0	0	0
86.4006886975005	0	0	0	0	0	0	0	0	0
90.0006969460261	0	0	0	0	0	0	0	0	0
93.6007100824142	0	0	0	0	0	0	0	0	0
97.2006531183959	0	0	0	0	0	0	0	0	0
100.800673218109	0	0	0	0	0	0	0	0	0
104.40074369406	0	0	0	0	0	0	0	0	0
108.000694883368	0	0	0	0	0	0	0	0	0
111.60076743324	0	0	0	0	0	0	0	0	0
115.200769477361	0	0	0	0	0	0	0	0	0
118.800755045308	0	0	0	0	0	0	0	0	0
122.40071771259	0	0	0	0	0	0	0	0	0
126.000820677049	0	0	0	0	0	0	0	0	0
129.600800244556	0	0	0	0	0	0	0	0	0
133.200870061856	0	0	0	0	0	0	0	0	0
136.800866270452	0	0	0	0	0	0	0	0	0
140.400851532989	0	0	0	0	0	0	0	0	0
144.000934200417	0	0	0	0	0	0	0	0	0
147.600935190622	0	0	0	0	0	0	0	0	0
151.200915788845	0	0	0	0	0	0	0	0	0
154.800928965188	0	0	0	0	0	0	0	0	0
158.400989255152	0	0	0	0	0	0	0	0	0
162.001011276104	0	0	0	0	0	0	0	0	0
165.60105162334	0	0	0	0	0	0	0	0	0
169.201056976254	0	0	0	0	0	0	0	0	0
172.801071531909	0	0	0	0	0	0	0	0	0
176.401091561493	0	0	0	0	0	0	0	0	0
180.001079922045	0	0	0	0	0	0	0	0	0
183.601058187678	0	0	0	0	0	0	0	0	0
187.201086321191	0	0	0	0	0	0	0	0	0
190.801135218161	0	0	0	0	0	0	0	0	0
194.401140094909	0	0	0	0	0	0	0	0	0
198.001153325912	0	0	0	0	0	0	0	0	0
201.601203269142	0	0	0	0	0	0	0	0	0
205.201212466331	0	0	0	0	0	0	0	0	0
208.801239731011	0	0	0	0	0	0	0	0	0
212.401255623724	0	0	0	0	0	0	0	0	0
216.001278793062	0	0	0	0	0	0	0	0	0
219.601270957447	0	0	0	0	0	0	0	0	0
223.201257642026	0	0	0	0	0	0	0	0	0
226.801313151602	0	0	0	0	0	0	0	0	0
230.401329506442	0	0	0	0	0	0	0	0	0
234.001333753719	0	0	0	0	0	0	0	0	0
237.601342379497	0	0	0	0	0	0	0	0	0
241.201324460523	0	0	0	0	0	0	0	0	0
244.801417056936	0	0	0	0	0	0	0	0	0
248.401425250536	0	0	0	0	0	0	0	0	0
252.001434275745	0	0	0	0	0	0	0	0	0
255.601431295573	0	0	0	0	0	0	0	0	0
259.201438269955	0	0	0	0	0	0	0	0	0
262.801450007941	0	0	0	0	0	0	0	0	0
266.401452511694	0	0	0	0	0	0	0	0	0
270.001479884178	0	0	0	0	0	0	0	0	0
273.601499657022	0	0	0	0	0	0	0	0	0
277.201494813982	0	0	0	0	0	0	0	0	0
280.801525851371	0	0	0	0	0	0	0	0	0
284.401579361974	0	0	0	0	0	0	0	0	0
288.001582878173	0	0	0	0	0	0	0	0	0
291.60160159261	0	0	0	0	0	0	0	0	0
295.201600692566	0	0	0	0	0	0	0	0	0
298.801635103791	0	0	0	0	0	0	0	0	0
302.401618139423	0	0	0	0	0	0	0	0	0
306.001661815681	0	0	0	0	0	0	0	0	0
309.601647607566	0	0	0	0	0	0	0	0	0
313.201674194619	0	0	0	0	0	0	0	0	0
316.801674918499	0	0	0	0	0	0	0	0	0
320.401705152955	0	0	0	0	0	0	0	0	0
324.001705378527	0	0	0	0	0	0	0	0	0
327.601768160504	0	0	0	0	0	0	0	0	0
331.201731093967	0	0	0	0	0	0	0	0	0
334.801721174226	0	0	0	0	0	0	0	0	0
338.401776357112	0	0	0	0	0	0	0	0	0
342.001773359585	0	0	0	0	0	0	0	0	0
345.601731285426	0	0	0	0	0	0	0	0	0
349.201823906235	0	0	0	0	0	0	0	0	0
352.801831365383	0	0	0	0	0	0	0	0	0
356.401843889114	0	0	0	0	0	0	0	0	0
360.001837639628	0	0	0	0	0	0	0	0	0
363.601883419826	0	0	0	0	0	0	0	0	0
367.201899331671	0	0	0	0	0	0	0	0	0
370.801908138739	0	0	0	0	0	0	0	0	0
374.401920721353	0	0	0	0	0	0	0	0	0
378.001947453931	0	0	0	0	0	0	0	0	0
381.601941648248	0	0	0	0	0	0	0	0	0
385.201956301591	0	0	0	0	0	0	0	0	0
388.801944502079	0	0	0	0	0	0	0	0	0
392.401997498333	0	0	0	0	0	0	0	0	0
396.001996032129	0	0	0	0	0	0	0	0	0
399.602011599063	0	0	0	0	0	0	0	0	0
403.202021513701	0	0	0	0	0	0	0	0	0
406.802034275723	0	0	0	0	0	0	0	0	0
410.402024314801	0	0	0	0	0	0	0	0	0
414.002059979738	0	0	0	0	0	0	0	0	0
417.602068664389	0	0	0	0	0	0	0	0	0
421.202073939173	0	0	0	0	0	0	0	0	0
424.802052062023	0	0	0	0	0	0	0	0	0
428.40207903472	0	0	0	0	0	0	0	0	0
432.00210158817	0	0	0	0	0	0	0	0	0
435.602096076735	0	0	0	0	0	0	0	0	0
439.202102323866	0	0	0	0	0	0	0	0	0
442.802093269133	0	0	0	0	0	0	0	0	0
446.402093363059	0	0	0	0	0	0	0	0	0
450.002149766111	0	0	0	0	0	0	0	0	0
453.60218621806	0	0	0	0	0	0	0	0	0
457.202200371342	0	0	0	0	0	0	0	0	0
460.802230692299	0	0	0	0	0	0	0	0	0
464.402232063934	0	0	0	0	0	0	0	0	0
468.002245428285	0	0	0	0	0	0	0	0	0
471.602238036783	0	0	0	0	0	0	0	0	0
475.202240552637	0	0	0	0	0	0	0	0	0
478.802253186705	0	0	0	0	0	0	0	0	0
482.402276199523	0	0	0	0	0	0	0	0	0
486.002249601391	0	0	0	0	0	0	0	0	0
489.602285333176	0	0	0	0	0	0	0	0	0
493.202302117143	0	0	0	0	0	0	0	0	0
496.802311559812	0	0	0	0	0	0	0	0	0
500.402313173121	0	0	0	0	0	0	0	0	0
504.002326818534	0	0	0	0	0	0	0	0	0
507.602323506137	0	0	0	0	0	0	0	0	0
511.202283347722	0	0	0	0	0	0	0	0	0
514.802337178167	0	0	0	0	0	0	0	0	0
518.402336597358	0	0	0	0	0	0	0	0	0
522.002335419363	0	0	0	0	0	0	0	0	0
525.602382567015	0	0	0	0	0	0	0	0	0
529.202410308796	0	0	0	0	0	0	0	0	0
532.802415236479	0	0	0	0	0	0	0	0	0
536.402438024555	0	0	0	0	0	0	0	0	0
