iteration	likelihood	noise_sigma_SSL_surf_IFN1_data0	noise_sigma_SSL_surf_none_data0	T0	upfactor	offset	s1	s2	sf
5000	-1016.88669261155	44.34087272914	10.6253539446033	-46.3903921989294	4798.96530400601	262.532959169508	0.232864966151281	2.01814056619289	0.000226154116089739
5010	-1017.60445024012	44.34087272914	10.6253539446033	-65.4001997324393	3728.49304096938	262.532959169508	0.232864966151281	1.83113576888401	0.000226154116089739
5020	-1017.76453853606	38.999477800191	11.2143752863839	-65.4001997324393	3728.49304096938	262.532959169508	0.205392893776955	1.83113576888401	0.000226154116089739
5030	-1019.83390554728	38.999477800191	12.2788073132354	-64.1829034465698	3509.76192009452	262.532959169508	0.205392893776955	2.16227815657687	0.000244805314335147
5040	-1017.5508827429	38.999477800191	12.2788073132354	-64.1829034465698	3538.56626034142	263.83524122601	0.299395192506899	1.69022963683892	0.000187721994939781
5050	-1016.12339345969	37.3647914391394	12.2788073132354	-75.1025890218711	3348.03346804158	191.377963796761	0.271943830895463	1.73843083786609	0.00020172430245965
5060	-1020.08353782904	44.3695862567105	11.1614484048101	-70.1999517659346	3348.03346804158	191.377963796761	0.320683504899451	1.73843083786609	0.00020172430245965
5070	-1018.00766207204	37.7445324486077	11.1614484048101	-68.8294103096567	3123.52202791111	218.338722819103	0.294009466724477	1.55169829160157	0.000197604667424059
5080	-1017.79222356896	37.7445324486077	14.8999462855535	-69.4062707244357	3123.52202791111	218.338722819103	0.281279349785779	1.55169829160157	0.000203394681846065
5090	-1019.2545956662	36.2183850043139	14.9482573812699	-73.0137809813654	3123.52202791111	190.868095787186	0.25162255019194	1.65855213464799	0.000203394681846065
5100	-1017.54201940422	45.2124641906447	12.7574714608	-69.0554221440797	3075.3308667616	190.868095787186	0.25162255019194	1.48656742627332	0.000208159164056695
5110	-1017.12937814876	45.2124641906447	12.7574714608	-69.6424150135792	3075.3308667616	219.676945565554	0.272212488758164	1.63060289677662	0.000206019642536088
5120	-1017.75763708524	45.2124641906447	13.3676138604675	-69.083719985582	3771.00521338056	219.676945565554	0.272212488758164	1.60741452831088	0.000206019642536088
5130	-1017.60803831485	45.4381273666539	11.3484157004445	-60.8116605806041	3272.15278689916	221.420330530253	0.273255381989725	1.60741452831088	0.000206019642536088
5140	-1018.9486113115	51.5930064388346	11.2876844692829	-60.8116605806041	3821.21602931531	220.917867196262	0.233755552723715	2.00401787169877	0.000206019642536088
