Time	Me-P1	Me-P2	Me-P3	Me-P4	Me-P5	Me-P6	Me-P7	Me-P8	Me-P9
0	0	0	0	0	0	0	0	0	0
3.59999826093311	0	0	0	0	0	0	0	0	0
7.20006269937414	0	0	0	0	0	0	0	0	0
10.8000296841378	0	0	0	0	0	0	0	0	0
14.4000566314207	0	0	0	0	0	0	0	0	0
18.0001395259215	0	0	0	0	0	0	0	0	0
21.6001485067564	0	0	0	0	0	0	0	0	0
25.2001214454065	0	0	0	0	0	0	0	0	0
28.8002054757175	0	0	0	0	0	0	0	0	0
32.4001276229129	0	0	0	0	0	0	0	0	0
36.0002366649288	0	0	0	0	0	0	0	0	0
39.6002103817984	0	0	0	0	0	0	0	0	0
43.2002514799541	0	0	0	0	0	0	0	0	0
46.8002937650905	0	0	0	0	0	0	0	0	0
50.4003337548413	0	0	0	0	0	0	0	0	0
54.0003157817363	0	0	0	0	0	0	0	0	0
57.600361598671	0	0	0	0	0	0	0	0	0
61.200367598541	0	0	0	0	0	0	0	0	0
64.8003851715731	0	0	0	0	0	0	0	0	0
68.4003448696364	0	0	0	0	0	0	0	0	0
72.0003966103702	0	0	0	0	0	0	0	0	0
75.6004057558038	0	0	0	0	0	0	0	0	0
79.2004435735313	0	0	0	0	0	0	0	0	0
82.8004910088953	0	0	0	0	0	0	0	0	0
86.4005610255914	0	0	0	0	0	0	0	0	0
90.0006100827019	0	0	0	0	0	0	0	0	0
93.6005611051329	0	0	0	0	0	0	0	0	0
97.200616643057	0	0	0	0	0	0	0	0	0
100.800576835772	0	0	0	0	0	0	0	0	0
104.400626131215	0	0	0	0	0	0	0	0	0
108.000634308997	0	0	0	0	0	0	0	0	0
111.600629426582	0	0	0	0	0	0	0	0	0
115.200661452519	0	0	0	0	0	0	0	0	0
118.800685858048	0	0	0	0	0	0	0	0	0
122.400706524326	0	0	0	0	0	0	0	0	0
126.000675311745	0	0	0	0	0	0	0	0	0
129.600718650956	0	0	0	0	0	0	0	0	0
133.200766700047	0	0	0	0	0	0	0	0	0
136.800771870079	0	0	0	0	0	0	0	0	0
140.400787602113	0	0	0	0	0	0	0	0	0
144.000778069846	0	0	0	0	0	0	0	0	0
147.600776844482	0	0	0	0	0	0	0	0	0
151.200814243722	0	0	0	0	0	0	0	0	0
154.800857649306	0	0	0	0	0	0	0	0	0
158.40085970033	0	0	0	0	0	0	0	0	0
162.000879467333	0	0	0	0	0	0	0	0	0
165.600885612069	0	0	0	0	0	0	0	0	0
169.200894357817	0	0	0	0	0	0	0	0	0
172.800889062453	0	0	0	0	0	0	0	0	0
176.400989868035	0	0	0	0	0	0	0	0	0
180.000994713481	0	0	0	0	0	0	0	0	0
183.601028176686	0	0	0	0	0	0	0	0	0
187.201038677769	0	0	0	0	0	0	0	0	0
190.801077375586	0	0	0	0	0	0	0	0	0
194.40108395333	0	0	0	0	0	0	0	0	0
198.001116583851	0	0	0	0	0	0	0	0	0
201.60104749939	0	0	0	0	0	0	0	0	0
205.201150697256	0	0	0	0	0	0	0	0	0
208.801163168855	0	0	0	0	0	0	0	0	0
212.401146403119	0	0	0	0	0	0	0	0	0
216.001168930075	0	0	0	0	0	0	0	0	0
219.601175199897	0	0	0	0	0	0	0	0	0
223.201171961291	0	0	0	0	0	0	0	0	0
226.801193497203	0	0	0	0	0	0	0	0	0
230.401213595482	0	0	0	0	0	0	0	0	0
234.001338679214	0	0	0	0	0	0	0	0	0
237.601358822115	0	0	0	0	0	0	0	0	0
241.201395085374	0	0	0	0	0	0	0	0	0
244.801397619118	0	0	0	0	0	0	0	0	0
248.401388159724	0	0	0	0	0	0	0	0	0
252.001437990483	0	0	0	0	0	0	0	0	0
255.60143330351	0	0	0	0	0	0	0	0	0
259.201458458579	0	0	0	0	0	0	0	0	0
262.80144763042	0	0	0	0	0	0	0	0	0
266.401463972999	0	0	0	0	0	0	0	0	0
270.00153866238	0	0	0	0	0	0	0	0	0
273.601532832445	0	0	0	0	0	0	0	0	0
277.201540725947	0	0	0	0	0	0	0	0	0
280.801568150069	0	0	0	0	0	0	0	0	0
284.401586170317	0	0	0	0	0	0	0	0	0
288.001590185231	0	0	0	0	0	0	0	0	0
291.601627394701	0	0	0	0	0	0	0	0	0
295.201629517738	0	0	0	0	0	0	0	0	0
298.801650120755	0	0	0	0	0	0	0	0	0
302.401666945722	0	0	0	0	0	0	0	0	0
306.001668054016	0	0	0	0	0	0	0	0	0
309.601662945741	0	0	0	0	0	0	0	0	0
313.201654094516	0	0	0	0	0	0	0	0	0
316.801691161535	0	0	0	0	0	0	0	0	0
320.401690555312	0	0	0	0	0	0	0	0	0
324.001721066998	0	0	0	0	0	0	0	0	0
327.60173767134	0	0	0	0	0	0	0	0	0
331.201754169847	0	0	0	0	0	0	0	0	0
334.801752031685	0	0	0	0	0	0	0	0	0
338.401720068979	0	0	0	0	0	0	0	0	0
342.001760748034	0	0	0	0	0	0	0	0	0
345.601762880703	0	0	0	0	0	0	0	0	0
349.201806012822	0	0	0	0	0	0	0	0	0
352.801820694132	0	0	0	0	0	0	0	0	0
356.401822156433	0	0	0	0	0	0	0	0	0
360.001830387231	0	0	0	0	0	0	0	0	0
363.601861239177	0	0	0	0	0	0	0	0	0
367.201902843779	0	0	0	0	0	0	0	0	0
370.801891604311	0	0	0	0	0	0	0	0	0
374.401904193038	0	0	0	0	0	0	0	0	0
378.001905347083	0	0	0	0	0	0	0	0	0
381.601904093886	0	0	0	0	0	0	0	0	0
385.201958846731	0	0	0	0	0	0	0	0	0
388.80194609529	0	0	0	0	0	0	0	0	0
392.401951656669	0	0	0	0	0	0	0	0	0
396.001963910172	0	0	0	0	0	0	0	0	0
399.602035523499	0	0	0	0	0	0	0	0	0
403.202046143813	0	0	0	0	0	0	0	0	0
406.802036410924	0	0	0	0	0	0	0	0	0
410.402061068749	0	0	0	0	0	0	0	0	0
414.002083549876	0	0	0	0	0	0	0	0	0
417.602106763596	0	0	0	0	0	0	0	0	0
421.202134323794	0	0	0	0	0	0	0	0	0
424.802172314121	0	0	0	0	0	0	0	0	0
428.402256835809	0	0	0	0	0	0	0	0	0
432.002265043962	0	0	0	0	0	0	0	0	0
435.602265668768	0	0	0	0	0	0	0	0	0
439.202261705694	0	0	0	0	0	0	0	0	0
442.802219242748	0	0	0	0	0	0	0	0	0
446.402307533418	0	0	0	0	0	0	0	0	0
450.002312102958	0	0	0	0	0	0	0	0	0
453.602332672771	0	0	0	0	0	0	0	0	0
457.202342523287	0	0	0	0	0	0	0	0	0
460.802368826348	0	0	0	0	0	0	0	0	0
464.402394877834	0	0	0	0	0	0	0	0	0
468.002402212607	0	0	0	0	0	0	0	0	0
471.602420311427	0	0	0	0	0	0	0	0	0
475.202436475082	0	0	0	0	0	0	0	0	0
478.802454685584	0	0	0	0	0	0	0	0	0
482.402450745758	0	0	0	0	0	0	0	0	0
486.002524340394	0	0	0	0	0	0	0	0	0
489.602502593131	0	0	0	0	0	0	0	0	0
493.202542636964	0	0	0	0	0	0	0	0	0
496.802560661787	0	0	0	0	0	0	0	0	0
500.402588301221	0	0	0	0	0	0	0	0	0
504.002592983572	0	0	0	0	0	0	0	0	0
507.602615308366	0	0	0	0	0	0	0	0	0
511.202629653024	0	0	0	0	0	0	0	0	0
514.802628703216	0	0	0	0	0	0	0	0	0
518.402652914462	0	0	0	0	0	0	0	0	0
522.00273199765	0	0	0	0	0	0	0	0	0
525.602736774815	0	0	0	0	0	0	0	0	0
529.202754478176	0	0	0	0	0	0	0	0	0
532.802765462651	0	0	0	0	0	0	0	0	0
536.402780124138	0	0	0	0	0	0	0	0	0
540.002789330415	0	0	0	0	0	0	0	0	0
543.602788029125	0	0	0	0	0	0	0	0	0
547.202801099049	0	0	0	0	0	0	0	0	0
550.802760180489	0	0	0	0	0	0	0	0	0
554.402829780601	0	0	0	0	0	0	0	0	0
558.002836434744	0	0	0	0	0	0	0	0	0
561.602842358748	0	0	0	0	0	0	0	0	0
565.202847426035	0	0	0	0	0	0	0	0	0
568.802873125231	0	0	0	0	0	0	0	0	0
572.402896456207	0	0	0	0	0	0	0	0	0
576.002884886243	0	0	0	0	0	0	0	0	0
579.602927870645	0	0	0	0	0	0	0	0	0
583.202931582882	0	0	0	0	0	0	0	0	0
586.802962422274	0	0	0	0	0	0	0	0	0
590.402964844332	0	0	0	0	0	0	0	0	0
594.002951966209	0	0	0	0	0	0	0	0	0
597.602957846191	0	0	0	0	0	0	0	0	0
601.202958040254	0	0	0	0	0	0	0	0	0
604.802954384534	0	0	0	0	0	0	0	0	0
608.403005367954	0	0	0	0	0	0	0	0	0
612.003020906721	0	0	0	0	0	0	0	0	0
615.603033260426	0	0	0	0	0	0	0	0	0
619.203064448691	0	0	0	0	0	0	0	0	0
622.803066582387	0	0	0	0	0	0	0	0	0
626.403039498301	0	0	0	0	0	0	0	0	0
630.003053525109	0	0	0	0	0	0	0	0	0
633.603070794564	0	0	0	0	0	0	0	0	0
637.203140221559	0	0	0	0	0	0	0	0	0
640.803141788453	0	0	0	0	0	0	0	0	0
644.403153916387	0	0	0	0	0	0	0	0	0
648.003163780404	0	0	0	0	0	0	0	0	0
651.603197076366	0	0	0	0	0	0	0	0	0
655.203210063286	0	0	0	0	0	0	0	0	0
658.80323064666	0	0	0	0	0	0	0	0	0
662.403237341498	0	0	0	0	0	0	0	0	0
666.003268351461	0	0	0	0	0	0	0	0	0
669.60330561726	0	0	0	0	0	0	0	0	0
673.203314729146	0	0	0	0	0	0	0	0	0
676.803283507632	0	0	0	0	0	0	0	0	0
680.403315459507	0	0	0	0	0	0	0	0	0
684.003326711139	0	0	0	0	0	0	0	0	0
