Time	Me-P1	Me-P2	Me-P0
22652.2273608062	767550.162762726	1870281.17489114	903346.673546099
24917.4500969162	825976.021429612	1977566.56083364	896464.890981182
27409.1951066373	886986.14262642	2083945.3706712	888829.41019518
30150.1146173305	950341.627640619	2188156.76194125	880412.843464654
33165.1260790929	1015725.04790735	2288828.95757443	871195.046871502
36481.6386870317	1084306.65856972	2389149.3483759	861117.168442014
40129.8025557643	1154763.43655222	2484597.30160552	850166.656703394
42136.2926835672	1190473.1270237	2528367.816094	844249.456929487
44343.4318241504	1227869.72677677	2571518.2880789	837828.961120464
46771.284878792	1266824.65151549	2613441.6494979	830880.072985756
49441.9232388977	1307160.87550217	2653465.22957958	823379.996552791
52379.625435014	1348647.23225688	2690860.51519637	815308.988309462
55611.0978507419	1390993.30753689	2724857.74507975	806651.181019699
