Time	Me-P1	Me-P2	Me-P3	Me-P4	Me-P5	Me-P6	Me-P7	Me-P8	Me-P9
0	0	0	0	0	0	0	0	0	0
3.60004325213321	0	0	0	0	0	0	0	0	0
7.20004883336556	0	0	0	0	0	0	0	0	0
10.8000692090951	0	0	0	0	0	0	0	0	0
14.4000432077031	0	0	0	0	0	0	0	0	0
18.0000934376604	0	0	0	0	0	0	0	0	0
21.6000532963676	0	0	0	0	0	0	0	0	0
25.2001255773415	0	0	0	0	0	0	0	0	0
28.8001337694166	0	0	0	0	0	0	0	0	0
32.4001389287977	0	0	0	0	0	0	0	0	0
36.0001478823249	0	0	0	0	0	0	0	0	0
39.600150689448	0	0	0	0	0	0	0	0	0
43.2001292433619	0	0	0	0	0	0	0	0	0
46.8001557710331	0	0	0	0	0	0	0	0	0
50.4001876114375	0	0	0	0	0	0	0	0	0
54.00017862621	0	0	0	0	0	0	0	0	0
57.6002359074124	0	0	0	0	0	0	0	0	0
61.2002455613503	0	0	0	0	0	0	0	0	0
64.8002349933939	0	0	0	0	0	0	0	0	0
68.4002897677939	0	0	0	0	0	0	0	0	0
72.0003366365195	0	0	0	0	0	0	0	0	0
75.6003060779254	0	0	0	0	0	0	0	0	0
79.2004031947613	0	0	0	0	0	0	0	0	0
82.8004495174473	0	0	0	0	0	0	0	0	0
86.4004420981865	0	0	0	0	0	0	0	0	0
90.0004028260269	0	0	0	0	0	0	0	0	0
93.6004484929516	0	0	0	0	0	0	0	0	0
97.2004857568243	0	0	0	0	0	0	0	0	0
100.800522763431	0	0	0	0	0	0	0	0	0
104.400526261248	0	0	0	0	0	0	0	0	0
108.000456404602	0	0	0	0	0	0	0	0	0
111.600527524529	0	0	0	0	0	0	0	0	0
115.200600517972	0	0	0	0	0	0	0	0	0
118.800618862545	0	0	0	0	0	0	0	0	0
122.400636037496	0	0	0	0	0	0	0	0	0
126.000658606126	0	0	0	0	0	0	0	0	0
129.600742706571	0	0	0	0	0	0	0	0	0
133.200758954761	0	0	0	0	0	0	0	0	0
136.800815257339	0	0	0	0	0	0	0	0	0
140.400830906946	0	0	0	0	0	0	0	0	0
144.000872206129	0	0	0	0	0	0	0	0	0
147.600859610271	0	0	0	0	0	0	0	0	0
151.200883198102	0	0	0	0	0	0	0	0	0
154.800891348346	0	0	0	0	0	0	0	0	0
158.400911710705	0	0	0	0	0	0	0	0	0
162.000975543353	0	0	0	0	0	0	0	0	0
165.601020276118	0	0	0	0	0	0	0	0	0
169.201021395489	0	0	0	0	0	0	0	0	0
172.801034051666	0	0	0	0	0	0	0	0	0
176.40100261891	0	0	0	0	0	0	0	0	0
180.001037040738	0	0	0	0	0	0	0	0	0
183.601044320489	0	0	0	0	0	0	0	0	0
187.201045765748	0	0	0	0	0	0	0	0	0
190.801083368753	0	0	0	0	0	0	0	0	0
194.401124676295	0	0	0	0	0	0	0	0	0
198.001113993255	0	0	0	0	0	0	0	0	0
201.6011717313	0	0	0	0	0	0	0	0	0
