iteration	likelihood	noise_sigma_SSL_surf_none_data0	upfactor	s1	s2	sf
2000	-473.81143471581	419.750541108553	0.102636701818759	0.339725789459511	6.71944823011496	0.00545427933780895
2010	-472.835786883509	363.330781168747	0.102636701818759	0.408564001189124	6.44390011368229	0.00534652778251402
2020	-473.374449750178	363.330781168747	0.102636701818759	0.494009645817334	6.95009609571922	0.00491941386508865
2030	-473.90510216398	363.330781168747	0.110975132764066	0.493349047915553	8.68413000754918	0.00489242618689791
2040	-474.972495594565	410.310701525348	0.0967733238016286	0.584728792025741	8.68413000754918	0.00489242618689791
2050	-476.443920701736	342.617679912391	0.0967733238016286	0.604246414016628	5.33649651273071	0.00485670448655482
2060	-476.716519450745	382.182326742671	0.0981945015248741	0.57190343150133	13.8964189665368	0.00541856700664725
2070	-473.954670352645	382.182326742671	0.100029734417878	0.400998233537177	8.06189423083654	0.00541856700664725
2080	-476.195319858439	332.243579974785	0.100029734417878	0.400998233537177	7.79031913727975	0.00580395340889193
2090	-476.552273366258	332.243579974785	0.0965420102516465	0.400437758981513	8.73556276944023	0.00580395340889193
2100	-481.352389796704	328.113674331081	0.103341736247001	0.573496140603271	8.37959220284679	0.00439724542283289
2110	-475.079403422253	370.161572978244	0.10841345454309	0.549777114280786	5.093466001643	0.00473519305524379
2120	-473.931478101023	437.04117785945	0.11173856139483	0.546158355568992	7.13287188428458	0.00469367963003296
2130	-473.149957461595	383.940795357993	0.113756119524592	0.546158355568992	6.90951460647608	0.00455153142175647
2140	-474.780694969298	389.261036490456	0.113897967884329	0.445756864958807	8.23785335270302	0.00446197145737461
2150	-472.678128164129	389.261036490456	0.114962337196049	0.459408488186608	5.59750451316036	0.00444322543573978
2160	-474.62055839101	454.540844087127	0.114962337196049	0.459408488186608	4.36869337880218	0.00444322543573978
2170	-476.165610103536	417.102147155233	0.108630797900106	0.486861358572961	5.00495829716235	0.00420627942690711
2180	-473.594368665448	442.658484097849	0.121977196116383	0.380820226488956	6.46706114034545	0.00456429226403284
2190	-474.334355064334	398.512795242125	0.123337019054197	0.51931520577234	5.6194612323849	0.00432708580665186
2200	-480.768494895522	439.079211690198	0.11868796543998	0.556510632020864	14.4190453581399	0.00401759436407181
2210	-479.97577983231	439.079211690198	0.12356122384196	0.556510632020864	18.4864453847693	0.00436712334117524
2220	-479.439743683246	447.15834215567	0.118446532023242	0.48192490591355	14.219849164406	0.00436712334117524
2230	-475.86342975551	402.279552910791	0.119628912600886	0.59776765213219	13.1560393254418	0.00429001112712902
2240	-477.026187223139	432.663649799696	0.122970780940643	0.602625541387663	15.1870336383681	0.00433901491704496
2250	-476.984776392076	432.663649799696	0.122970780940643	0.675923037977125	15.534030442404	0.00433901491704496
2260	-475.647831349782	432.663649799696	0.122970780940643	0.648757336560441	8.95134666977408	0.00433901491704496
2270	-473.414153813694	432.663649799696	0.122921410948728	0.508235605742507	7.00588267321472	0.004152389932917
2280	-474.540416604526	444.43469852394	0.119549814152898	0.63043190897085	9.46984709877125	0.00417127359426684
2290	-476.584736147909	384.55466263299	0.110571601014858	0.763265130154924	14.2054084366413	0.00469328244923264
2300	-477.255809748935	348.389815210521	0.113658895435351	0.574713641333672	12.7560659176067	0.00469328244923264
2310	-475.009363204812	430.275439609216	0.119574057895401	0.414569010284863	8.29249576998549	0.0049319224320289
2320	-473.483103328398	430.275439609216	0.118375437451777	0.336972612919279	6.17000745011284	0.00488809024021484
2330	-472.777000907632	390.665283950036	0.118375437451777	0.336972612919279	3.92328671920403	0.00462632391905701
