iteration	likelihood	noise_sigma_SSL_surf_IFN1_data0	noise_sigma_SSL_surf_none_data0	gM	upfactor	offset	s1	s2	sf
5000	-2149.20416176295	999.938936421897	499.271022164141	150.5	2031.71855455293	260.775750482627	0.217123531050252	0.666669231024956	0.000157958329531766
5010	-2147.20257097914	999.938936421897	499.271022164141	150.5	2058.80826913805	295.330663157957	0.217123531050252	0.666669231024956	0.000157958329531766
5020	-2149.26800982411	999.938936421897	508.870788494406	150.5	2121.5895784671	245.4161128963	0.21814563394318	0.666669231024956	0.000157958329531766
5030	-2147.38232597315	999.938936421897	511.423004478995	150.5	2121.5895784671	208.627256482193	0.212379362201495	0.666669231024956	0.000157958329531766
5040	-2146.86132070816	999.938936421897	511.423004478995	150.5	2118.2081030821	209.116640162356	0.212379362201495	0.66971789668288	0.000157958329531766
5050	-2146.37962313494	999.938936421897	511.423004478995	150.5	2084.98232773767	209.116640162356	0.212379362201495	0.66971789668288	0.000157958329531766
5060	-2150.17117081995	999.938936421897	511.423004478995	150.5	2084.98232773767	243.480505807284	0.210100843709588	0.646117876696342	0.000161323178112013
5070	-2148.29635622796	999.938936421897	511.423004478995	150.5	2084.98232773767	243.480505807284	0.207020134158757	0.652565513642581	0.000158858773258912
5080	-2150.91924432942	999.633582859629	501.719010607583	150.5	2084.98232773767	215.482679470069	0.206660131279127	0.632379360248504	0.000159220034507252
5090	-2148.04750146444	999.633582859629	499.622895545911	150.5	2112.79544798524	215.482679470069	0.206660131279127	0.64223613224655	0.000158151290558098
5100	-2150.83171069733	999.633582859629	502.985703108944	150.5	2085.47489306771	126.803482457386	0.207875564976341	0.64223613224655	0.000158151290558098
5110	-2152.88212200345	999.633582859629	502.985703108944	150.5	2079.6223683116	131.206246710504	0.207990307426273	0.669579947744303	0.000158151290558098
5120	-2152.32739125058	999.633582859629	502.985703108944	150.5	2098.71366304896	131.206246710504	0.207990307426273	0.688593305571492	0.000159663954073491
5130	-2151.92549753575	999.633582859629	502.985703108944	150.5	2112.2603163222	131.206246710504	0.207990307426273	0.688593305571492	0.000159663954073491
5140	-2148.88207780698	999.633582859629	502.985703108944	150.5	2090.47295541475	241.857167356825	0.207990307426273	0.61504858824459	0.000157282584853614
5150	-2149.20337526338	998.883447913326	504.225842845759	150.5	2094.46015281222	251.739760723668	0.209468261515565	0.61504858824459	0.000157371609429071
5160	-2149.71457864506	998.883447913326	501.776895662894	150.5	2116.42593728619	288.598280979774	0.212601950299699	0.634682927640357	0.000157371609429071
5170	-2148.27198846457	998.883447913326	503.173717979203	150.5	2106.14560535955	255.597792195314	0.21242097166185	0.634682927640357	0.000157371609429071
5180	-2147.95556412428	998.883447913326	509.699694145167	150.5	2106.14560535955	226.77200558625	0.21242097166185	0.645577805502183	0.000157371609429071
5190	-2147.70313231961	999.150926330657	509.699694145167	150.5	2106.14560535955	226.77200558625	0.216313527102473	0.653681803131052	0.000157324395160147
5200	-2146.9615457846	999.150926330657	504.300739364645	150.5	2092.56359045121	226.77200558625	0.216313527102473	0.642947796130456	0.000156575163526984
5210	-2146.94286229784	999.150926330657	508.199902245587	150.5	2092.56359045121	235.695552690701	0.216313527102473	0.642947796130456	0.000156575163526984
5220	-2147.15905101537	999.150926330657	502.823687013229	150.5	2092.56359045121	271.596312595621	0.216313527102473	0.642947796130456	0.000156575163526984
5230	-2152.45973810812	999.150926330657	500.818886483367	150.5	2070.70193569667	375.176685794758	0.21461216940177	0.640027687767725	0.000154588700939669
5240	-2153.51026527012	999.150926330657	500.818886483367	150.5	2070.70193569667	375.176685794758	0.21810174015355	0.613207817571547	0.000153736507123471
5250	-2150.21841321131	999.150926330657	500.818886483367	150.5	2078.97676578015	331.835123196609	0.21810174015355	0.685347123002882	0.000154494796216808
5260	-2148.62231142426	999.349540600357	503.25453492835	150.5	2120.89851389981	360.572793154276	0.21509309511721	0.685347123002882	0.00015461512072152
5270	-2145.07220408883	999.349540600357	503.25453492835	150.5	2167.68995568363	288.658836111506	0.214211431715728	0.650945043233077	0.00015227698743218
5280	-2146.48996305412	999.349540600357	503.25453492835	150.5	2167.68995568363	288.658836111506	0.216710571145118	0.643573664144558	0.000151650632459601
5290	-2145.68567071114	999.349540600357	507.530146774181	150.5	2167.68995568363	270.60779337364	0.215184040229609	0.643573664144558	0.000151650632459601
5300	-2147.83391257695	999.349540600357	517.153478131594	150.5	2175.45533468718	242.828009533871	0.210760923157234	0.643573664144558	0.000151650632459601
5310	-2147.92819898002	999.349540600357	523.947316653928	150.5	2175.45533468718	242.828009533871	0.210760923157234	0.643573664144558	0.000151650632459601
5320	-2148.5626911217	999.52283918579	520.567081434308	150.5	2169.60494123443	385.034171496826	0.210399872871641	0.643573664144558	0.000152247990984697
5330	-2148.66299248166	999.52283918579	518.501439600279	150.5	2169.60494123443	377.221905692389	0.218562691088398	0.608518900455433	0.000150302606267614
