Time	Me-P1	Me-P2	Me-P3	Me-P4	Me-P5	Me-P6	Me-P7	Me-P8	Me-P9	Me-P10	Me-P11	Me-P12	Me-P13	Me-P14	Me-P15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.4000174421115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64.8000280774914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97.2000942151591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129.600086588865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
162.000141859602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194.40015798223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
226.800150702396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
259.20016513874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
291.600170916543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
324.000181388235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
356.400171908988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
388.80015883642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
421.200194181735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
453.600259468489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
486.000259273315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
518.400256669378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
550.800253150867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
583.200267872768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
615.600305853065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
648.000332610949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
680.400347552047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
712.800347137016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
745.200399885009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
777.600432469744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
810.000421368415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
842.400463519625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
874.800445163757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
907.200448974969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
939.600461794472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
972.000475202718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1004.40048498804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1036.8005054268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1069.20050954699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1101.60053043508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1134.00056269827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1166.40057174122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1198.80056825681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1231.20058785446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1263.60061151355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1296.00063268246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1328.40064206091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1360.8006307216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1393.20063412581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1425.6006727072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1458.00071610249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1490.40072065359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1522.80071408563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1555.20073262008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1587.60076186279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1620.00074881269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1652.40075491305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1684.80076937642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1717.20078723933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1749.60079093627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1782.00081800171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1814.40082839279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1846.80083272313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1879.20085160549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1911.60086302385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1944.00087937008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1976.40087599459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008.80088423839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2041.20089414042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2073.60089797321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2106.00090315155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2138.4009080795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2170.80092066587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2203.20093107617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2235.60093790487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2268.00097684532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2300.40097286347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2332.80099176492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2365.20101902552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2397.60102717804	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2430.00102198509	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2462.40104032662	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
