Time	Me-P1	Me-P2	Me-P0
6511.93903497886	7447.09936366677	2041392.77973765	929960.950881064
7163.13293848699	8127.6482026248	2213605.47917437	926897.365575205
7879.44623234593	8861.84736767384	2396749.11606567	923310.230259062
8667.39085559076	9652.33455561836	2590820.578555	919127.20251544
9534.12994116007	10501.5304909163	2795651.64451706	914270.162410406
10487.5429352863	11411.5437755756	3010875.74031177	908655.860935574
11536.2972288252	12384.0586568725	3235892.2712861	902196.920439426
12689.9269517179	13420.2044862035	3469829.35389422	894803.23325722
13958.9196469	14520.4060916487	3711506.17958908	886383.792098449
15354.8116116002	15684.2149750478	3959396.71750866	876848.966317789
16890.2927727705	16927.8004833048	4218155.66587	866178.935498421
18579.3220500578	18240.111950895	4482024.73244274	854218.159199896
19508.2881525658	18927.3024144321	4614478.68104067	847530.561391684
20530.1508653246	19661.0658812898	4752328.80424399	840136.421540986
21654.1998493593	20442.0792085277	4894877.82479512	831976.684213653
22890.6537317974	21270.4512456792	5041211.5531584	822992.066672636
24250.7530024794	22145.58955467	5190174.15665553	813124.381069401
25746.8622002296	23079.7933181989	5344727.90261308	802296.136786149
27392.5823177548	24064.1793865176	5500861.15437449	790446.872625594
28297.7283823936	24578.7143199634	5578268.72872562	783980.837884435
29293.3890534964	25127.4892264533	5658178.11757471	776914.593617419
30388.6157917094	25710.8338683364	5740017.02060168	769204.442636261
31593.3652037437	26328.6168549562	5823059.34388841	760806.6932538
32918.5895569814	26980.1401555187	5906408.46656609	751678.539671807
34376.336345543	27664.0223005602	5988982.44562847	741779.127188054
35979.8578129606	28390.4901580088	6072786.89678492	731008.579823747
37743.7314271201	29150.4906786407	6154550.8003699	719352.793455656
38713.8619149078	29544.2396794707	6193198.17556854	713067.851882509
39781.0054514743	29961.9049017293	6231838.0710652	706242.000449297
40954.8633416974	30403.1484997019	6269888.74164366	698841.025653966
42246.1070209428	30867.1786779079	6306650.74376922	690831.407614232
43666.4750681127	31352.6590373039	6341297.69435545	682181.088316543
45228.8799199997	31857.6103965866	6372869.51958472	672860.384035094
46947.5252570754	32390.2419370252	6402587.55620089	662764.680607342
