Time	Gag	Pol	Nef	Env	Vpr	Vpu	Vif	Rev	Tat
0	4900	245	150	81	700	50	101	0	0
3.59998387150718	4900	245	150	81	700	50	101	0	0
7.20006555496627	4899	245	150	81	700	50	101	0	0
10.8000732229752	4897	245	150	81	700	50	101	0	0
14.4001206768839	4897	245	150	81	700	50	101	0	0
18.0001373043695	4897	245	150	81	700	50	101	0	0
21.6001763772642	4896	245	150	81	700	50	101	0	0
25.2002388558058	4896	245	150	81	700	50	101	0	0
28.8002663907885	4896	245	150	81	700	50	101	0	0
32.4002603792874	4893	245	150	81	700	50	101	0	0
36.0002991784096	4891	245	150	81	700	50	101	0	0
39.6004129257889	4891	245	150	81	700	50	101	0	0
43.200383775132	4890	245	150	81	700	50	101	0	0
46.8003779127579	4890	245	150	81	700	50	101	0	0
50.400410435345	4890	245	150	81	700	50	101	0	0
54.0004692437476	4890	245	150	81	700	50	101	0	0
57.6005327599704	4890	245	150	81	700	50	101	0	0
61.2005098112128	4890	245	150	81	700	50	101	0	0
64.8005688669981	4889	245	150	81	700	50	101	0	0
68.400520362124	4888	245	150	81	700	50	100	0	0
72.0005495090463	4888	245	150	81	700	50	100	0	0
75.6005868468791	4888	244	150	81	700	50	100	0	0
79.2005380403521	4887	244	150	81	700	50	100	0	0
82.8006036246255	4886	244	150	81	700	50	100	0	0
86.4006060632303	4886	244	150	81	700	50	100	0	0
90.0006404486395	4884	244	150	81	699	50	100	0	0
93.6006131283183	4883	244	150	81	699	50	100	0	0
97.2007103949515	4883	244	150	81	699	50	100	0	0
100.800710493591	4883	244	150	81	699	50	100	0	0
104.400718955332	4881	244	150	81	699	50	100	0	0
108.000749730534	4881	244	150	81	699	50	100	0	0
111.600825451405	4879	244	150	81	699	50	100	0	0
115.200862003977	4879	244	150	81	699	50	100	0	0
118.800862340386	4877	244	150	81	699	50	100	0	0
122.400852957798	4875	244	150	81	699	50	100	0	0
126.000890548065	4875	244	150	81	699	50	100	0	0
129.600862745072	4875	244	150	81	699	50	100	0	0
133.200925751125	4875	244	150	81	699	50	100	0	0
136.800936771477	4874	244	150	81	699	50	100	0	0
140.400950381428	4874	244	150	81	699	50	100	0	0
144.000934191599	4874	244	150	81	699	50	100	0	0
147.600931688703	4873	244	150	81	699	49	100	0	0
151.200964781678	4872	244	150	81	699	49	100	0	0
154.801018145719	4871	244	150	81	699	49	100	0	0
158.40103987727	4871	244	150	81	699	49	100	0	0
162.00109996558	4871	244	150	81	699	49	100	0	0
165.601139680504	4870	244	150	81	699	49	100	0	0
169.201127850576	4869	244	150	81	699	49	100	0	0
172.801158853898	4868	244	150	81	699	49	100	0	0
176.401190250537	4868	244	150	81	699	49	100	0	0
180.001169994085	4867	244	150	81	699	49	100	0	0
183.601224877535	4867	244	150	81	699	49	100	0	0
187.201193364167	4867	244	150	81	699	49	100	0	0
190.801241254798	4866	244	150	81	699	49	100	0	0
194.401312032991	4866	244	150	81	699	49	100	0	0
198.001328412547	4865	244	150	81	699	49	100	0	0
201.601295359181	4865	244	150	81	699	49	100	0	0
205.201371813047	4864	244	150	81	699	49	100	0	0
208.801394162515	4864	244	150	81	699	49	100	0	0
212.401429861823	4864	244	150	81	699	49	100	0	0
216.001388941235	4863	244	150	81	699	49	100	0	0
219.601434569654	4862	244	150	81	699	49	100	0	0
223.201452865055	4858	244	150	81	699	49	100	0	0
226.801462639842	4858	244	150	81	699	49	100	0	0
230.401456857939	4858	244	150	81	699	49	100	0	0
234.001491028094	4858	244	150	81	699	49	100	0	0
237.601473286276	4857	244	150	81	699	49	100	0	0
241.201480659806	4856	244	150	81	699	49	100	0	0
244.801488973297	4856	244	150	81	699	49	100	0	0
248.401502478879	4855	244	150	81	699	49	100	0	0
252.001469535831	4854	244	150	81	699	49	100	0	0
255.601520620364	4854	244	150	81	699	49	100	0	0
259.201520650379	4852	244	150	81	699	49	100	0	0
262.801543594177	4852	244	150	81	699	49	100	0	0
266.401581150602	4852	244	150	81	699	49	100	0	0
270.001608392798	4852	244	150	81	699	49	100	0	0
273.601555951952	4851	244	150	81	699	49	100	0	0
277.201584647066	4850	244	150	81	699	49	100	0	0
280.801640503468	4849	244	150	81	699	49	100	0	0
284.401648140004	4849	244	150	81	699	49	100	0	0
288.001612269633	4849	244	150	81	699	49	100	0	0
291.601656025113	4846	244	150	81	699	49	100	0	0
295.201652501792	4845	244	150	81	699	49	100	0	0
298.80164127494	4841	244	150	81	699	49	100	0	0
302.401655670562	4841	244	150	81	699	49	100	0	0
306.001671699027	4841	244	150	81	699	49	100	0	0
309.601682719592	4840	244	150	81	699	49	100	0	0
313.201668336558	4839	243	150	81	698	49	100	0	0
316.801706927732	4839	243	150	81	698	49	100	0	0
320.401732089109	4839	243	150	81	698	49	100	0	0
324.001735874866	4838	243	150	81	698	49	99	0	0
327.601777792239	4837	243	150	81	697	49	99	0	0
331.201756044424	4837	243	150	81	697	49	99	0	0
334.801809210211	4837	243	150	81	697	49	99	0	0
338.401823485257	4837	243	150	81	697	49	99	0	0
342.001847827233	4837	243	150	81	697	49	99	0	0
345.60187366274	4837	243	150	81	697	49	99	0	0
349.201849450471	4835	243	150	81	697	49	99	0	0
352.801863358466	4835	243	150	81	697	49	99	0	0
356.401876982091	4834	243	150	81	697	49	99	0	0
360.001890633266	4833	243	150	81	697	49	99	0	0
363.601876352376	4832	243	150	81	697	49	99	0	0
367.20188724567	4831	243	150	81	697	49	98	0	0
370.801904615287	4830	243	150	81	697	49	98	0	0
374.401937996306	4829	243	150	81	697	49	98	0	0
