iteration	likelihood	noise_sigma_SSL_surf_IFN1_data0	noise_sigma_SSL_surf_none_data0	upfactor	s1	s2	sf	gM
2000	-2104.68049630065	998.507566848587	479.234433238697	41.4562530359021	0.272384141276611	1.03958995155327	0.0282229792166764	6.02625822559363
2010	-2104.13026655187	998.507566848587	479.234433238697	41.4562530359021	0.276736168624167	1.09585207359296	0.0282229792166764	5.99558410540346
2020	-2102.58559620895	999.779495503485	473.529317076187	41.9666270226535	0.26585461355592	1.10959298208714	0.0281040440148075	6.08582148527644
2030	-2101.84407922588	999.779495503485	480.18086812004	41.734995658592	0.256591292350797	1.0812291380195	0.0286137853649852	6.32612784106486
2040	-2101.04464180534	999.779495503485	480.18086812004	42.1015333915004	0.261354705899611	1.11044654335137	0.0284499170484498	6.32612784106486
2050	-2102.0021683736	999.779495503485	480.18086812004	41.8885943252195	0.261354705899611	1.12218303920735	0.0286427297112442	6.40344611792415
2060	-2101.52673104341	999.779495503485	480.18086812004	41.1959095360907	0.268931520360302	1.12218303920735	0.0286427297112442	6.26345428803769
2070	-2100.94649249273	999.779495503485	480.18086812004	41.1959095360907	0.263428956602853	1.09263513307906	0.028980715099977	6.25635893483817
2080	-2100.96677642904	999.779495503485	472.074862370327	41.1927325496443	0.263271539190185	1.09610328990382	0.028980715099977	6.25635893483817
2090	-2100.58567997702	999.911992422231	467.131113356973	41.1927325496443	0.268681901713482	1.09610328990382	0.0289085975745394	6.25635893483817
2100	-2100.12898345975	999.911992422231	467.131113356973	42.0165172067866	0.257775594554926	1.0571933765144	0.0285394194911554	6.22483109730626
2110	-2100.58516557707	999.911992422231	474.704389913793	42.2418662679119	0.256531367062468	1.07128884412559	0.0285437667448106	6.07217155250426
2120	-2100.37840065366	999.777300099217	484.139534505341	41.9649019876727	0.262485922300689	1.03539044970702	0.0285437667448106	6.07217155250426
2130	-2100.94374758193	999.777300099217	484.139534505341	41.9649019876727	0.258083256579532	1.09048494111814	0.0287795211671051	6.07217155250426
2140	-2101.36921376073	999.777300099217	476.249517427476	41.6144532751554	0.258083256579532	1.09048494111814	0.0287795211671051	6.20806543782252
2150	-2100.82231800507	999.777300099217	474.800448072158	41.6144532751554	0.260789369774124	1.09560623859716	0.0287795211671051	6.20806543782252
2160	-2100.82781432775	999.777300099217	479.276654498649	41.926918085052	0.260789369774124	1.09182406428156	0.0287407598309244	6.20806543782252
2170	-2100.50664180998	999.777300099217	487.160539310718	41.7167990396484	0.269413895912848	1.10957799259182	0.0284437339925812	6.16279568076101
2180	-2100.21564435047	999.777300099217	472.044912097841	41.587638053346	0.266916619667675	1.05126732193372	0.0284437339925812	6.16279568076101
2190	-2102.50043102285	999.777300099217	468.102339252678	41.1166334739522	0.266916619667675	1.05126732193372	0.0284437339925812	6.16279568076101
2200	-2100.55216024301	999.777300099217	477.175664959088	41.1166334739522	0.266916619667675	1.03259037630802	0.0287836777939664	6.16279568076101
2210	-2100.64533628524	999.777300099217	477.175664959088	40.7889913645048	0.271750270220975	1.06000996240143	0.0291043994972195	6.04596210155512
2220	-2100.63965162273	999.777300099217	477.175664959088	40.7889913645048	0.271750270220975	1.06372790417074	0.0291043994972195	6.04596210155512
2230	-2100.7486302068	999.777300099217	500.400390051956	40.7889913645048	0.271750270220975	1.06663961097939	0.0291043994972195	6.04596210155512
2240	-2100.97060347787	999.777300099217	495.759522505342	41.4295163382002	0.271750270220975	1.04262380838599	0.0284359417508801	6.15109509610135
2250	-2100.24628275475	999.777300099217	492.662910757541	41.4295163382002	0.267856563214692	1.06363889612182	0.0286000245457063	6.15109509610135
2260	-2100.2523882345	999.777300099217	492.662910757541	41.4295163382002	0.267856563214692	1.06363889612182	0.0286000245457063	6.16674018797386
2270	-2101.96305602294	999.777300099217	505.638959871657	41.51726147176	0.267856563214692	1.12272245512923	0.028983660061634	6.18239091554175
