Time	Me-P1	Me-P2	Me-P3	Me-P4	Me-P5	Me-P6	Me-P7	Me-P8	Me-P9
0	0	0	0	0	0	0	0	0	0
3.60000307582621	0	0	0	0	0	0	0	0	0
7.20000282053346	0	0	0	0	0	0	0	0	0
10.8000047466334	0	0	0	0	0	0	0	0	0
14.4000154451048	0	0	0	0	0	0	0	0	0
18.0000170746992	0	0	0	0	0	0	0	0	0
21.6000246027454	0	0	0	0	0	0	0	0	0
25.200022109896	0	0	0	0	0	0	0	0	0
28.8000450873078	0	0	0	0	0	0	0	0	0
32.4000496532536	0	0	0	0	0	0	0	0	0
36.000050628745	0	0	0	0	0	0	0	0	0
39.6000526559256	0	0	0	0	0	0	0	0	0
43.2000460489496	0	0	0	0	0	0	0	0	0
46.8000515427324	0	0	0	0	0	0	0	0	0
50.4000574694964	0	0	0	0	0	0	0	0	0
54.0000564071514	0	0	0	0	0	0	0	0	0
57.6000581585751	0	0	0	0	0	0	0	0	0
61.2000666716603	0	0	0	0	0	0	0	0	0
64.8000676706768	0	0	0	0	0	0	0	0	0
68.4000745247506	0	0	0	0	0	0	0	0	0
72.0000722423356	0	0	0	0	0	0	0	0	0
75.6000823119393	0	0	0	0	0	0	0	0	0
79.2000951071563	0	0	0	0	0	0	0	0	0
82.800092119666	0	0	0	0	0	0	0	0	0
86.4000932013201	0	0	0	0	0	0	0	0	0
90.0001103286396	0	0	0	0	0	0	0	0	0
93.6001159073303	0	0	0	0	0	0	0	0	0
97.2001129088683	0	0	0	0	0	0	0	0	0
100.800128402851	0	0	0	0	0	0	0	0	0
104.400126674491	0	0	0	0	0	0	0	0	0
108.00013342607	0	0	0	0	0	0	0	0	0
111.600140728016	0	0	0	0	0	0	0	0	0
115.200136777053	0	0	0	0	0	0	0	0	0
118.800142487009	0	0	0	0	0	0	0	0	0
122.400130886159	0	0	0	0	0	0	0	0	0
126.000141842774	0	0	0	0	0	0	0	0	0
129.600148501087	0	0	0	0	0	0	0	0	0
133.200150252179	0	0	0	0	0	0	0	0	0
136.800146126183	0	0	0	0	0	0	0	0	0
140.400139255427	0	0	0	0	0	0	0	0	0
144.000158676944	0	0	0	0	0	0	0	0	0
147.600163805867	0	0	0	0	0	0	0	0	0
151.20016805569	0	0	0	0	0	0	0	0	0
154.800168048097	0	0	0	0	0	0	0	0	0
158.400183148563	0	0	0	0	0	0	0	0	0
162.000180273383	0	0	0	0	0	0	0	0	0
165.600188735017	0	0	0	0	0	0	0	0	0
169.200190751088	0	0	0	0	0	0	0	0	0
172.80019179045	0	0	0	0	0	0	0	0	0
176.40019054044	0	0	0	0	0	0	0	0	0
180.000194212193	0	0	0	0	0	0	0	0	0
183.600192996816	0	0	0	0	0	0	0	0	0
187.200188283799	0	0	0	0	0	0	0	0	0
190.800198445709	0	0	0	0	0	0	0	0	0
194.400206446944	0	0	0	0	0	0	0	0	0
198.000203611404	0	0	0	0	0	0	0	0	0
201.600216106794	0	0	0	0	0	0	0	0	0
205.200218897005	0	0	0	0	0	0	0	0	0
208.80022165829	0	0	0	0	0	0	0	0	0
212.400232980297	0	0	0	0	0	0	0	0	0
216.000243703421	0	0	0	0	0	0	0	0	0
219.600234727613	0	0	0	0	0	0	0	0	0
223.200253881602	0	0	0	0	0	0	0	0	0
226.800248732436	0	0	0	0	0	0	0	0	0
230.400248161558	0	0	0	0	0	0	0	0	0
234.00025388852	0	0	0	0	0	0	0	0	0
237.60026207209	0	0	0	0	0	0	0	0	0
241.200264929267	0	0	0	0	0	0	0	0	0
244.800261968921	0	0	0	0	0	0	0	0	0
248.400271805722	0	0	0	0	0	0	0	0	0
252.000268936651	0	0	0	0	0	0	0	0	0
255.600287183278	0	0	0	0	0	0	0	0	0
259.200280869715	0	0	0	0	0	0	0	0	0
262.800294654818	0	0	0	0	0	0	0	0	0
266.400294123562	0	0	0	0	0	0	0	0	0
270.000299236188	0	0	0	0	0	0	0	0	0
273.600297314875	0	0	0	0	0	0	0	0	0
277.200309938213	0	0	0	0	0	0	0	0	0
280.800308270419	0	0	0	0	0	0	0	0	0
284.400312708921	0	0	0	0	0	0	0	0	0
288.000313015883	0	0	0	0	0	0	0	0	0
291.600317281237	0	0	0	0	0	0	0	0	0
295.200318684952	0	0	0	0	0	0	0	0	0
298.800319280028	0	0	0	0	0	0	0	0	0
302.400321809603	0	0	0	0	0	0	0	0	0
306.000325458492	0	0	0	0	0	0	0	0	0
309.600326117114	0	0	0	0	0	0	0	0	0
313.200329059553	0	0	0	0	0	0	0	0	0
316.800330515347	0	0	0	0	0	0	0	0	0
320.40032801064	0	0	0	0	0	0	0	0	0
324.000338202917	0	0	0	0	0	0	0	0	0
327.600341901035	0	0	0	0	0	0	0	0	0
331.200342962319	0	0	0	0	0	0	0	0	0
334.800337117293	0	0	0	0	0	0	0	0	0
338.400341988932	0	0	0	0	0	0	0	0	0
342.000352235166	0	0	0	0	0	0	0	0	0
345.600353483629	0	0	0	0	0	0	0	0	0
349.200354814919	0	0	0	0	0	0	0	0	0
352.800365614527	0	0	0	0	0	0	0	0	0
356.400377865208	0	0	0	0	0	0	0	0	0
360.000375815176	0	0	0	0	0	0	0	0	0
363.600392047219	0	0	0	0	0	0	0	0	0
367.200388008797	0	0	0	0	0	0	0	0	0
370.800400156439	0	0	0	0	0	0	0	0	0
374.40041016101	0	0	0	0	0	0	0	0	0
378.000411369588	0	0	0	0	0	0	0	0	0
381.600411780553	0	0	0	0	0	0	0	0	0
385.200416261157	0	0	0	0	0	0	0	0	0
388.800417328812	0	0	0	0	0	0	0	0	0
392.400429204617	0	0	0	0	0	0	0	0	0
396.000439859867	0	0	0	0	0	0	0	0	0
399.60044815738	0	0	0	0	0	0	0	0	0
403.200451208871	0	0	0	0	0	0	0	0	0
