iteration	likelihood	noise_sigma_SSL_surf_IFN1_data0	noise_sigma_SSL_surf_none_data0	upfactor	s1	s2	sf
2000	-3832.02441337203	999.762706291707	998.131089430227	990.229465773925	0.00245162441716513	0.256306869957956	0.00702390270427638
2010	-3831.56281347224	999.762706291707	998.131089430227	994.885165573179	0.00241274224279899	0.251855898128934	0.00711187041591612
2020	-3831.21581384039	999.762706291707	998.131089430227	994.885165573179	0.00241035803871828	0.256075661185939	0.00715690511680257
2030	-3832.39634946542	999.762706291707	997.540793741876	989.101747200034	0.00238582264423288	0.256075661185939	0.00716240501344061
2040	-3832.23170943427	999.762706291707	997.540793741876	989.101747200034	0.00237948856303145	0.249580066004981	0.00717881249132199
2050	-3833.92753554715	999.762706291707	992.970130891683	992.833280278682	0.00238457447647048	0.237180938727427	0.00715039357725634
2060	-3834.17989626054	999.762706291707	992.810510108157	992.833280278682	0.00240301653502525	0.254543405827225	0.00719261427980597
2070	-3833.16989529577	999.762706291707	995.548133792839	992.833280278682	0.00240301653502525	0.254543405827225	0.00719261427980597
2080	-3831.78905609652	999.762706291707	998.043297255101	995.434199354851	0.0024121689621462	0.271409514324267	0.0070794507699484
2090	-3831.3787689133	999.762706291707	998.043297255101	997.923886630744	0.00239802669117829	0.271409514324267	0.00714930229109409
2100	-3830.47470142692	999.762706291707	998.043297255101	997.923886630744	0.00239802669117829	0.266415343330025	0.00712192975680047
2110	-3830.47470142692	999.762706291707	998.043297255101	997.923886630744	0.00239802669117829	0.266415343330025	0.00712192975680047
2120	-3830.47470142692	999.762706291707	998.043297255101	997.923886630744	0.00239802669117829	0.266415343330025	0.00712192975680047
2130	-3830.98870230408	999.832722284608	998.043297255101	992.686253764396	0.00239802669117829	0.256328272415772	0.00710900969040751
2140	-3830.62837420339	999.832722284608	998.043297255101	992.686253764396	0.00240237448836304	0.241338016057176	0.00710900969040751
2150	-3830.62837420339	999.832722284608	998.043297255101	992.686253764396	0.00240237448836304	0.241338016057176	0.00710900969040751
2160	-3832.45496718979	999.801929170113	996.631001524022	989.480112268942	0.00240237448836304	0.241338016057176	0.00710900969040751
2170	-3832.87140576871	999.801929170113	995.700870302814	994.408878828041	0.00241396566508227	0.240907132144031	0.00710900969040751
2180	-3832.34863122524	999.801929170113	992.762777369134	994.217449248397	0.00244215334063489	0.247447386396449	0.00699190773975254
2190	-3833.34068678845	999.801929170113	997.646942402228	989.17847705351	0.00244621858646849	0.243771601728495	0.00706844043971448
2200	-3835.61476645425	999.801929170113	995.2374635494	993.976426480385	0.00244621858646849	0.243771601728495	0.0071185023309507
2210	-3832.2656664412	999.801929170113	995.2374635494	998.276628076618	0.00242657186908799	0.248031619269566	0.0071185023309507
2220	-3832.59163537246	999.801929170113	999.997562219532	986.301942985506	0.00238584559261562	0.248031619269566	0.0071185023309507
2230	-3833.58345714499	999.801929170113	999.997562219532	986.301942985506	0.00238570572902107	0.255992620122325	0.00724824868683873
2240	-3832.31321535495	999.801929170113	999.997562219532	988.577150904426	0.00237480078445933	0.265140027837776	0.00724824868683873
2250	-3833.47231021581	999.801929170113	996.201337704036	990.230568928974	0.00237480078445933	0.267305587746032	0.00723800318669518
2260	-3832.03820395025	999.801929170113	999.297710977921	990.599554480805	0.00237480078445933	0.267305587746032	0.00723800318669518
2270	-3834.7660026945	999.801929170113	999.297710977921	990.599554480805	0.00237480078445933	0.283486259260215	0.00723800318669518
2280	-3833.47982648107	999.801929170113	999.297710977921	990.599554480805	0.00236214103785345	0.257555319351909	0.00734293233791962
2290	-3833.48796369845	999.801929170113	999.297710977921	990.599554480805	0.00236214103785345	0.269738203919357	0.00733804517809939
2300	-3832.90495929093	999.801929170113	999.297710977921	990.599554480805	0.00236214103785345	0.270941532165209	0.00723570871009973
2310	-3832.29780088284	999.801929170113	999.297710977921	991.22377926236	0.00236379263141085	0.27087794833419	0.00723570871009973
2320	-3830.45172434515	999.801929170113	999.297710977921	997.819876723694	0.00237224603743619	0.261299571514109	0.00723570871009973
2330	-3829.6440251818	999.801929170113	999.297710977921	997.819876723694	0.00237224603743619	0.255166602638152	0.00715581611714144
2340	-3829.6440251818	999.801929170113	999.297710977921	997.819876723694	0.00237224603743619	0.255166602638152	0.00715581611714144
2350	-3830.02701975316	999.801929170113	999.297710977921	997.819876723694	0.00238380271583997	0.26117278690314	0.00711587966444574
2360	-3832.17381185746	999.801929170113	994.546069558768	997.819876723694	0.00236204829009634	0.254013606139574	0.00710630978735084
2370	-3832.96246748999	999.801929170113	994.546069558768	997.819876723694	0.00242595164932932	0.24112091398062	0.00710351540249163
2380	-3830.31657426708	999.801929170113	999.734182285845	997.819876723694	0.00243337370071748	0.264760362807512	0.00691690547483686
2390	-3829.2886268463	999.801929170113	999.734182285845	998.365985491065	0.00243598190463845	0.238597005481572	0.00690516785864635
2400	-3831.06087266482	999.801929170113	999.734182285845	996.605981236223	0.00243598190463845	0.238597005481572	0.00706588738630278
2410	-3829.48778177954	999.801929170113	999.734182285845	999.424833231294	0.0024199227515555	0.239641740490659	0.00706588738630278
2420	-3830.85935012127	999.801929170113	999.000635752815	996.226197725734	0.00243206983651397	0.248356986194188	0.00706588738630278
2430	-3830.7697556765	999.801929170113	999.000635752815	996.226197725734	0.00237942560775946	0.251059227721216	0.00706419928488572
2440	-3831.09151688428	999.801929170113	999.000635752815	996.226197725734	0.00243756524831488	0.250992077992897	0.00688826572506239
2450	-3829.78435622929	999.801929170113	999.177414314711	996.226197725734	0.00244775885916611	0.256256800676766	0.00701572158662573
