Time	Me-P1	Me-P2	Me-P3	Me-P4	Me-P5	Me-P6	Me-P7	Me-P8	Me-P9
0	0	0	0	0	0	0	0	0	0
3.5999118413358	0	0	0	0	0	0	0	0	0
7.20003624053946	0	0	0	0	0	0	0	0	0
10.8000122987154	0	0	0	0	0	0	0	0	0
14.4000554463101	0	0	0	0	0	0	0	0	0
18.0000007100368	0	0	0	0	0	0	0	0	0
21.6001520596439	0	0	0	0	0	0	0	0	0
25.2001672155511	0	0	0	0	0	0	0	0	0
28.800187418201	0	0	0	0	0	0	0	0	0
32.4001640173181	0	0	0	0	0	0	0	0	0
36.0002099962161	0	0	0	0	0	0	0	0	0
39.600346579646	0	0	0	0	0	0	0	0	0
43.2003604263407	0	0	0	0	0	0	0	0	0
46.8003711594742	0	0	0	0	0	0	0	0	0
50.4003966509193	0	0	0	0	0	0	0	0	0
54.0004338517525	0	0	0	0	0	0	0	0	0
57.6004628536573	0	0	0	0	0	0	0	0	0
61.200408664738	0	0	0	0	0	0	0	0	0
64.8005229614928	0	0	0	0	0	0	0	0	0
68.4005832411592	0	0	0	0	0	0	0	0	0
72.0006109317174	0	0	0	0	0	0	0	0	0
75.6006464025433	0	0	0	0	0	0	0	0	0
79.2006486857512	0	0	0	0	0	0	0	0	0
82.8006382569906	0	0	0	0	0	0	0	0	0
86.4006617326147	0	0	0	0	0	0	0	0	0
90.0006991862249	0	0	0	0	0	0	0	0	0
93.6006963656528	0	0	0	0	0	0	0	0	0
97.2007494506477	0	0	0	0	0	0	0	0	0
100.800722284633	0	0	0	0	0	0	0	0	0
104.400780965361	0	0	0	0	0	0	0	0	0
108.000767563964	0	0	0	0	0	0	0	0	0
111.60084930559	0	0	0	0	0	0	0	0	0
115.20080974909	0	0	0	0	0	0	0	0	0
118.800868372033	0	0	0	0	0	0	0	0	0
122.400892317267	0	0	0	0	0	0	0	0	0
126.000890417021	0	0	0	0	0	0	0	0	0
129.600935361516	0	0	0	0	0	0	0	0	0
133.200929492835	0	0	0	0	0	0	0	0	0
136.800929718258	0	0	0	0	0	0	0	0	0
140.40093056785	0	0	0	0	0	0	0	0	0
144.000939399626	0	0	0	0	0	0	0	0	0
147.600949844225	0	0	0	0	0	0	0	0	0
151.200986692379	0	0	0	0	0	0	0	0	0
154.801011547939	0	0	0	0	0	0	0	0	0
158.401039475123	0	0	0	0	0	0	0	0	0
162.001038938036	0	0	0	0	0	0	0	0	0
165.60105870274	0	0	0	0	0	0	0	0	0
169.201067915895	0	0	0	0	0	0	0	0	0
172.801078986152	0	0	0	0	0	0	0	0	0
176.401083845931	0	0	0	0	0	0	0	0	0
180.001117872402	0	0	0	0	0	0	0	0	0
183.601119238769	0	0	0	0	0	0	0	0	0
187.201143451849	0	0	0	0	0	0	0	0	0
190.801173635762	0	0	0	0	0	0	0	0	0
194.401182252942	0	0	0	0	0	0	0	0	0
198.001274032118	0	0	0	0	0	0	0	0	0
201.601229430954	0	0	0	0	0	0	0	0	0
205.201315366241	0	0	0	0	0	0	0	0	0
208.801330830968	0	0	0	0	0	0	0	0	0
212.401369187521	0	0	0	0	0	0	0	0	0
216.001324636829	0	0	0	0	0	0	0	0	0
219.601391446718	0	0	0	0	0	0	0	0	0
223.201426046885	0	0	0	0	0	0	0	0	0
226.801430602393	0	0	0	0	0	0	0	0	0
230.401466365144	0	0	0	0	0	0	0	0	0
234.001471267476	0	0	0	0	0	0	0	0	0
