Time	Me-P1	Me-P2	Me-P3	Me-P4	Me-P5	Me-P6	Me-P7	Me-P8	Me-P9
0	0	0	0	0	0	0	0	0	0
3.59998455122677	0	0	0	0	0	0	0	0	0
7.20007343344625	0	0	0	0	0	0	0	0	0
10.8000347149387	0	0	0	0	0	0	0	0	0
14.4000977600849	0	0	0	0	0	0	0	0	0
18.0001108326701	0	0	0	0	0	0	0	0	0
21.6001061030363	0	0	0	0	0	0	0	0	0
25.2001526748362	0	0	0	0	0	0	0	0	0
28.8001295101215	0	0	0	0	0	0	0	0	0
32.4001644156724	0	0	0	0	0	0	0	0	0
36.000212760702	0	0	0	0	0	0	0	0	0
39.60026296019	0	0	0	0	0	0	0	0	0
43.2002284347068	0	0	0	0	0	0	0	0	0
46.8003075980035	0	0	0	0	0	0	0	0	0
50.4002860169568	0	0	0	0	0	0	0	0	0
54.0002553221192	0	0	0	0	0	0	0	0	0
57.6002561196569	0	0	0	0	0	0	0	0	0
61.2003606819427	0	0	0	0	0	0	0	0	0
64.8004181600299	0	0	0	0	0	0	0	0	0
68.4004608859187	0	0	0	0	0	0	0	0	0
72.0004148266634	0	0	0	0	0	0	0	0	0
75.6004147644994	0	0	0	0	0	0	0	0	0
79.2004648826126	0	0	0	0	0	0	0	0	0
82.8004785906291	0	0	0	0	0	0	0	0	0
86.4004843390126	0	0	0	0	0	0	0	0	0
90.0004834389509	0	0	0	0	0	0	0	0	0
93.6004863768759	0	0	0	0	0	0	0	0	0
97.2004995381683	0	0	0	0	0	0	0	0	0
100.800509642061	0	0	0	0	0	0	0	0	0
104.400526007028	0	0	0	0	0	0	0	0	0
108.000539183079	0	0	0	0	0	0	0	0	0
111.60051680168	0	0	0	0	0	0	0	0	0
115.20055968989	0	0	0	0	0	0	0	0	0
118.8005721352	0	0	0	0	0	0	0	0	0
122.400518773434	0	0	0	0	0	0	0	0	0
126.000586156528	0	0	0	0	0	0	0	0	0
129.600579014469	0	0	0	0	0	0	0	0	0
133.200596754205	0	0	0	0	0	0	0	0	0
136.800629786418	0	0	0	0	0	0	0	0	0
140.400659644442	0	0	0	0	0	0	0	0	0
144.000687038758	0	0	0	0	0	0	0	0	0
147.600727013778	0	0	0	0	0	0	0	0	0
151.200734731166	0	0	0	0	0	0	0	0	0
154.800742011923	0	0	0	0	0	0	0	0	0
158.400749658339	0	0	0	0	0	0	0	0	0
162.000753179951	0	0	0	0	0	0	0	0	0
165.600772009649	0	0	0	0	0	0	0	0	0
169.200840937261	0	0	0	0	0	0	0	0	0
172.800832269127	0	0	0	0	0	0	0	0	0
176.400846717635	0	0	0	0	0	0	0	0	0
180.00087543524	0	0	0	0	0	0	0	0	0
183.60088957814	0	0	0	0	0	0	0	0	0
187.200903752585	0	0	0	0	0	0	0	0	0
190.800916938115	0	0	0	0	0	0	0	0	0
194.400938758183	0	0	0	0	0	0	0	0	0
198.000939394222	0	0	0	0	0	0	0	0	0
201.60097109069	0	0	0	0	0	0	0	0	0
205.200978548231	0	0	0	0	0	0	0	0	0
208.800984404961	0	0	0	0	0	0	0	0	0
212.401004801885	0	0	0	0	0	0	0	0	0
216.000963545432	0	0	0	0	0	0	0	0	0
219.60102755512	0	0	0	0	0	0	0	0	0
223.201011466402	0	0	0	0	0	0	0	0	0
226.801048680394	0	0	0	0	0	0	0	0	0
230.401017790094	0	0	0	0	0	0	0	0	0
234.001086913853	0	0	0	0	0	0	0	0	0
237.601085401885	0	0	0	0	0	0	0	0	0
241.201071920695	0	0	0	0	0	0	0	0	0
244.801092385882	0	0	0	0	0	0	0	0	0
248.401124605295	0	0	0	0	0	0	0	0	0
252.001130841468	0	0	0	0	0	0	0	0	0
255.60114150134	0	0	0	0	0	0	0	0	0
259.201141834453	0	0	0	0	0	0	0	0	0
262.801162771897	0	0	0	0	0	0	0	0	0
266.401194163556	0	0	0	0	0	0	0	0	0
270.001205902271	0	0	0	0	0	0	0	0	0
273.60118818804	0	0	0	0	0	0	0	0	0
277.201170432892	0	0	0	0	0	0	0	0	0
280.801234304886	0	0	0	0	0	0	0	0	0
284.40126098038	0	0	0	0	0	0	0	0	0
288.001339989861	0	0	0	0	0	0	0	0	0
291.601320631704	0	0	0	0	0	0	0	0	0
295.201361320013	0	0	0	0	0	0	0	0	0
298.801407735507	0	0	0	0	0	0	0	0	0
302.401431815065	0	0	0	0	0	0	0	0	0
306.001401789755	0	0	0	0	0	0	0	0	0
309.601451698976	0	0	0	0	0	0	0	0	0
313.201463419021	0	0	0	0	0	0	0	0	0
316.801458917476	0	0	0	0	0	0	0	0	0
320.401432598647	0	0	0	0	0	0	0	0	0
324.001448000487	0	0	0	0	0	0	0	0	0
327.601530131184	0	0	0	0	0	0	0	0	0
331.201525885309	0	0	0	0	0	0	0	0	0
334.801561082002	0	0	0	0	0	0	0	0	0
338.401567825204	0	0	0	0	0	0	0	0	0
342.001570386333	0	0	0	0	0	0	0	0	0
345.601576765239	0	0	0	0	0	0	0	0	0
349.201602057953	0	0	0	0	0	0	0	0	0
352.801621922253	0	0	0	0	0	0	0	0	0
356.40164857875	0	0	0	0	0	0	0	0	0
360.001653384549	0	0	0	0	0	0	0	0	0
363.601687817235	0	0	0	0	0	0	0	0	0
