iteration	likelihood	noise_sigma_SSL_surf_IFN1_data0	noise_sigma_SSL_surf_none_data0	upfactor	s1	s2	sf
2000	-7472.79820419048	999.916290196374	999.701043818798	51.826081386682	0.00193216990148036	0.180614258546817	0.0316489044002966
2010	-7473.20095396105	999.916290196374	999.701043818798	51.826081386682	0.00194118594458644	0.180673429197864	0.0316489044002966
2020	-7473.54249009501	999.916290196374	999.701043818798	46.626587724515	0.00194584355479945	0.193418730668841	0.0316489044002966
2030	-7473.23247772901	999.916290196374	999.701043818798	46.626587724515	0.00199164957757844	0.198428606117091	0.0316489044002966
2040	-7472.25906824326	999.916290196374	999.701043818798	46.626587724515	0.00200285871406215	0.196756972382215	0.0308445399025628
2050	-7473.66270968404	999.916290196374	999.407932039992	46.626587724515	0.00196894790375985	0.192471533587083	0.0314432800472322
2060	-7473.66270968404	999.916290196374	999.407932039992	45.0656433147869	0.00196894790375985	0.192471533587083	0.0314432800472322
2070	-7474.06994843645	999.916290196374	999.407932039992	43.5110006541057	0.00197180351042349	0.189389491664892	0.0309917049770688
2080	-7474.38635115227	999.916290196374	999.407932039992	42.009660862591	0.0019711550363427	0.184398467488159	0.0309917049770688
2090	-7473.50238511871	999.916290196374	999.407932039992	42.3579505297666	0.00202932423360589	0.190912808969795	0.0309917049770688
2100	-7473.44157495679	999.916290196374	999.407932039992	42.8071687884967	0.00198819209143242	0.183627902842648	0.0307219929708629
2110	-7473.61759023043	999.916290196374	999.407932039992	42.8071687884967	0.00196412388750827	0.186020193066672	0.0312463250106024
2120	-7473.71275603024	999.916290196374	999.407932039992	42.8071687884967	0.00198448002953143	0.184819286262461	0.0309565989181314
2130	-7473.6326386269	999.916290196374	999.407932039992	38.8546466375018	0.00195316761390894	0.188795268526673	0.0316709333065954
2140	-7474.23867712995	999.916290196374	999.407932039992	38.8546466375018	0.00195962188967184	0.191790112463902	0.0313677181543107
2150	-7475.02157325303	999.916290196374	999.407932039992	38.8546466375018	0.00192994534008002	0.17968997565352	0.0313677181543107
2160	-7474.71258739038	999.916290196374	999.407932039992	38.8546466375018	0.00200349829456034	0.17968997565352	0.0313677181543107
2170	-7473.98752190702	999.916290196374	999.205087119871	38.8546466375018	0.00200212797969437	0.190558255877323	0.0310275229573664
2180	-7473.96193045715	999.916290196374	999.205087119871	40.4693692632737	0.00201380447425727	0.18728271970382	0.0305026405672191
2190	-7474.65166176503	999.916290196374	999.205087119871	38.4740597114981	0.00200453562864486	0.192409979736934	0.0305026405672191
2200	-7480.09232154848	999.916290196374	999.205087119871	38.4740597114981	0.00200453562864486	0.202906903142564	0.0298656732617928
2210	-7473.90761057777	999.916290196374	999.205087119871	38.8125264568771	0.00205811193340179	0.199829162031776	0.0298656732617928
2220	-7475.2702992874	999.916290196374	998.704659153448	39.8699874608042	0.00206763796706029	0.200159301293232	0.0298656732617928
2230	-7474.70484800366	999.916290196374	998.704659153448	39.8699874608042	0.00208013881121189	0.187784709758834	0.029958721451425
2240	-7474.17473948774	999.916290196374	998.704659153448	40.6848498776274	0.00208471426849497	0.187787051785867	0.0299461462799442
2250	-7477.58751651778	999.916290196374	998.704659153448	37.9235595767423	0.00202047506723061	0.185317880628256	0.0299461462799442
2260	-7472.33000658828	999.959755645807	999.202276445841	34.0637886894832	0.00208638269321534	0.185350551380504	0.0297201712958541
2270	-7474.10881719168	999.959755645807	998.894284766874	32.8568556394981	0.00217479800978707	0.190826508701534	0.0289957416636794
2280	-7472.75554009301	999.959755645807	998.894284766874	33.1671224150288	0.0021821250774581	0.19324595999109	0.0285300603434766
2290	-7473.19133824887	999.959755645807	998.894284766874	31.4756244213386	0.00214237045202662	0.202018015915541	0.0288987964211131
2300	-7473.34692796667	999.959755645807	998.894284766874	30.7515396181052	0.00217276223985664	0.188923031846347	0.0287711196444339
2310	-7474.44746395967	999.959755645807	998.894284766874	31.0677506063367	0.00217276223985664	0.1845128635771	0.0279848268156206
2320	-7473.18117088044	999.959755645807	998.894284766874	31.0677506063367	0.00217276223985664	0.17747005123265	0.0285776799522481
2330	-7473.24457469661	999.959755645807	998.894284766874	31.0677506063367	0.00211515810614668	0.176512836565615	0.0290961382898711
2340	-7477.44672231224	999.959755645807	998.894284766874	29.4940281545736	0.00199249003586675	0.178898101293664	0.0301746365890821
2350	-7475.90040822183	999.959755645807	998.677447079605	29.8368832567687	0.00206054777647215	0.178700825330812	0.0304979790660514
2360	-7474.87199041621	999.959755645807	998.677447079605	29.2752788477862	0.00206054777647215	0.195736204390719	0.0300062936339671
2370	-7475.48797864506	999.959755645807	998.677447079605	30.2833376570157	0.00204250300669181	0.203011127648293	0.0303609088607297
2380	-7475.08192519432	999.959755645807	998.677447079605	29.1054738184828	0.00202732076874483	0.187455239240633	0.0304139536536918
2390	-7474.79167366511	999.959755645807	998.677447079605	29.2127792886668	0.00202732076874483	0.185615686686859	0.0305493720520669
2400	-7476.01981931274	999.959755645807	998.677447079605	29.7081963830715	0.00199878473366969	0.182090716525669	0.0314640616813868
2410	-7472.69261371215	999.959755645807	999.500608511479	28.1455319522216	0.00199878473366969	0.190661211782928	0.0311894022804858
2420	-7472.7217121679	999.959755645807	999.500608511479	30.9116695346813	0.00199028143273209	0.200540442933974	0.0313877367985004
2430	-7473.23734842685	999.959755645807	999.500608511479	32.630692535438	0.00197684182835527	0.195642287065753	0.0313877367985004
2440	-7473.05796110865	999.959755645807	999.500608511479	32.630692535438	0.00197684182835527	0.176882011652505	0.0314021698901846
