Iteration,Likelihood,noise_sigma,s1,s2,sf
2000,-518.453797898314,107.640523211417,0.00159174286732693,0.235000738254024,0.00227607454991765
2010,-517.870472578591,107.640523211417,0.00159174286732693,0.235000738254024,0.00185850878841045
2020,-518.114597780455,103.171989678073,0.00159174286732693,0.235000738254024,0.00175769740968626
2030,-517.237123473863,85.9146019171247,0.00139926516774602,0.210392776684128,0.00293180696211476
2040,-517.364261366778,79.7687231322263,0.00153995186737576,0.120821745882996,0.00282010908895574
2050,-518.206494266007,80.8469051779958,0.00234402631191701,0.101464109068475,0.00217927041046628
2060,-522.904804184117,75.411626848625,0.00176462685730293,0.389726665216003,0.00238648800814074
2070,-517.363302353254,83.2957295276166,0.00176462685730293,0.206847588692007,0.00288551050575007
2080,-517.363302353254,83.2957295276166,0.00176462685730293,0.206847588692007,0.00288551050575007
2090,-518.673217607741,83.2957295276166,0.00176462685730293,0.297393754743004,0.00223578698821376
2100,-518.235084401281,107.458093212886,0.00158602576446143,0.297393754743004,0.00223578698821376
2110,-517.993296596074,106.613530215242,0.00218899204045839,0.151862153675899,0.00117806107963524
2120,-517.91939545902,106.613530215242,0.00218899204045839,0.273947458174198,0.00137534492133501
2130,-517.975240572379,102.291639683639,0.00276730155985274,0.250124579630861,0.00140150490658327
2140,-517.663974162414,98.9394040056572,0.00234490439624363,0.250124579630861,0.00140150490658327
2150,-519.662769895667,103.125177176633,0.00148403244001075,0.250124579630861,0.00162852884563216
2160,-520.138914874057,91.2919557320874,0.00148403244001075,0.539541116766711,0.00348110544211195
2170,-522.950362376911,82.1478868227451,0.00157923758125971,0.24974962093471,0.00542022636048925
2180,-521.125707432053,90.550343361868,0.00190438639709774,0.0586415917973063,0.00259560549864611
2190,-517.089879874646,80.0382679507707,0.00224653815725722,0.166185317814008,0.00214267476073184
2200,-517.239163708934,80.5381163403135,0.00284799442837692,0.119634531434789,0.0014888405519971
2210,-517.156408345711,87.7426132544306,0.00278333177767909,0.211664356687151,0.00140753453392682
2220,-519.09369154347,57.168397632558,0.00562342411528742,0.211664356687151,0.00140753453392682
2230,-521.676061602072,57.168397632558,0.00503373706483501,0.0683748645816514,0.00167456462621434
