Time	Me-P1	Me-P2	Me-P0
-257126.4	0	0	36610.2741013387
-256435.2	0	0	36927.3115423076
-255744	0	0	37244.2445717473
-255052.8	0	0	37561.0730279349
-254361.6	0	0	37877.7967816208
-253670.4	0	0	38194.4156793688
-252979.2	0	0	38510.9295996089
-252288	0	0	38827.338426167
-251596.8	0	0	39143.6421017392
-250905.6	0	0	39459.8404925132
-250214.4	0	0	39775.9335125728
-249523.2	0	0	40091.9211217543
-248832	0	0	40407.8032424241
-248140.8	0	0	40723.5798116348
-247449.6	0	0	41039.2507601651
-246758.4	0	0	41354.8160958456
-246067.2	0	0	41670.2757362715
-245376	0	0	41985.6296532796
-244684.8	0	0	42300.8778626516
-243993.6	0	0	42616.0202907477
-243302.4	0	0	42931.0569539605
-242611.2	0	0	43245.9878086477
-241920	0	0	43560.8128923021
-241228.8	0	0	43875.5321440953
-240537.6	0	0	44190.1456078964
-239846.4	0	0	44504.6532667458
-239155.2	0	0	44819.0551131181
-238464	0	0	45133.3511764134
-237772.8	0	0	45447.5414505415
-237081.6	0	0	45761.6259638505
-236390.4	0	0	46075.6047325327
-235699.2	0	0	46389.4777417028
-235008	0	0	46703.2450495164
-234316.8	0	0	47016.9066581063
-233625.6	0	0	47330.4626165011
-232934.4	0	0	47643.9128640954
-232243.2	0	0	47957.2575304371
-231552	0	0	48270.4965709186
-230860.8	0	0	48583.6300692623
-230169.6	0	0	48896.6580256258
-229478.4	0	0	49209.5804533787
-228787.2	0	0	49522.3973975332
-228096	0	0	49835.108926547
-227404.8	0	0	50147.7150361392
-226713.6	0	0	50460.2157560357
-226022.4	0	0	50772.6111655476
-225331.2	0	0	51084.9012430433
-224640	0	0	51397.0860522607
-223948.8	0	0	51709.165645573
-223257.6	0	0	52021.1400401756
-222566.4	0	0	52333.0092754406
-221875.2	0	0	52644.7734000596
-221184	0	0	52956.4324500964
-220492.8	0	0	53267.9864555181
-219801.6	0	0	53579.4354857314
-219110.4	0	0	53890.7795460477
-218419.2	0	0	54202.018704839
-217728	0	0	54513.1529844802
-217036.8	0	0	54824.1824345131
-216345.6	0	0	55135.1070913615
-215654.4	0	0	55445.9270244569
-214963.2	0	0	55756.6422227108
-214272	0	0	56067.2527915718
-213580.8	0	0	56377.7587221474
-212889.6	0	0	56688.1601006476
-212198.4	0	0	56998.4569274673
-211507.2	0	0	57308.6492847935
-210816	0	0	57618.7371844452
-210124.8	0	0	57928.7206981515
-209433.6	0	0	58238.5998512494
-208742.4	0	0	58548.3746907742
-208051.2	0	0	58858.0452624369
-207360	0	0	59167.6116236845
-206668.8	0	0	59477.0737942495
-205977.6	0	0	59786.4318396302
-205286.4	0	0	60095.6857869622
-204595.2	0	0	60404.8357224513
-203904	0	0	60713.8816128784
-203212.8	0	0	61022.8235616746
-202521.6	0	0	61331.6616085991
-201830.4	0	0	61640.3957885613
-201139.2	0	0	61949.0261621339
-200448	0	0	62257.5527421181
-199756.8	0	0	62565.9755862295
-199065.6	0	0	62874.2947545195
-198374.4	0	0	63182.5102867092
-197683.2	0	0	63490.6222190194
-196992	0	0	63798.63060448
-196300.8	0	0	64106.5354779922
-195609.6	0	0	64414.3368971339
-194918.4	0	0	64722.0349118796
-194227.2	0	0	65029.6295435992
-193536	0	0	65337.1208454967
-192844.8	0	0	65644.5088787772
-192153.6	0	0	65951.7936802449
-191462.4	0	0	66258.97528891
-190771.2	0	0	66566.0537550576
-190080	0	0	66873.029120617
-189388.8	0	0	67179.9014176804
-188697.6	0	0	67486.6707313088
-188006.4	0	0	67793.3370649479
-187315.2	0	0	68099.900489009
-186624	0	0	68406.3610355689
