iteration	likelihood	noise_sigma_SSL_surf_IFN1_data0	noise_sigma_SSL_surf_none_data0	gM	upfactor	offset	s1	s2	sf
5000	-3521.44503034825	999.302445969623	645.432345269914	150.5	9680.343987787	491.627118261382	0.00279467895239965	0.747172816337438	0.00357342655302323
5010	-3523.93256644039	999.302445969623	648.413896679261	150.5	9680.343987787	492.349004583801	0.00275700782068827	0.747172816337438	0.00357342655302323
5020	-3520.89597007949	999.302445969623	685.879434907735	150.5	9548.3889858596	492.349004583801	0.00277487083674599	0.757837687739717	0.00360578710254764
5030	-3520.89597007949	999.302445969623	685.879434907735	150.5	9548.3889858596	492.349004583801	0.00277487083674599	0.757837687739717	0.00360578710254764
5040	-3523.9799454081	999.302445969623	693.351260894581	150.5	9633.60692887834	476.054865052469	0.002801296194773	0.78026443980898	0.00360578710254764
5050	-3522.27017778469	999.670304412782	684.645251085181	150.5	9633.60692887834	476.054865052469	0.00283246173703947	0.778707351649336	0.0035434619543154
5060	-3521.01057479138	999.670304412782	730.427025493959	150.5	9945.12717649827	480.963368779949	0.00281609166416206	0.786316770192673	0.0035434619543154
5070	-3521.22659381763	999.670304412782	721.056333121659	150.5	9945.12717649827	480.963368779949	0.00281609166416206	0.800188849439739	0.0035434619543154
5080	-3523.26149744665	999.670304412782	704.964813164526	150.5	9945.12717649827	476.55453333062	0.00279672327944579	0.79209805647574	0.0035434619543154
5090	-3524.38491319531	999.670304412782	704.964813164526	150.5	9346.24706731687	476.55453333062	0.00286980885949838	0.793512179033669	0.0035434619543154
5100	-3523.22294237806	999.670304412782	704.964813164526	150.5	9346.24706731687	476.55453333062	0.00286980885949838	0.794039902165261	0.00348689056467022
5110	-3523.04717478891	999.670304412782	704.964813164526	150.5	9346.24706731687	476.55453333062	0.00286980885949838	0.780244227917873	0.0035048433228718
5120	-3522.74331162769	999.670304412782	704.964813164526	150.5	9346.24706731687	483.441063559961	0.00282431636449273	0.733385465532526	0.00351683720584227
