iteration	likelihood	noise_sigma_SSL_surf_none_data0	s1	s2	sf
2000	-496.914869485439	616.179908923132	0.00136413681726953	0.457080648029037	0.00471603445976975
2010	-495.34866701123	527.185238825075	0.00136413681726953	0.699639183021182	0.00482235327198257
2020	-494.216407526555	516.334513361255	0.00136413681726953	0.699639183021182	0.00448718130806051
2030	-496.26315170713	581.848577573027	0.00150395396766873	1.51613559359273	0.00437132660962398
2040	-496.698468748794	575.230451374466	0.00157771927739681	1.56648881795455	0.00430482236852168
2050	-494.906394897192	536.612587239775	0.0015497834603649	1.08732093930723	0.00388852627120532
2060	-495.83999224389	565.57553103863	0.00145858655484782	1.26481931705039	0.00407567282456677
2070	-495.78401102761	559.153739300367	0.0014535541045496	1.2408040191011	0.00407567282456677
2080	-494.603804449781	559.153739300367	0.0014535541045496	0.739395160931352	0.00444743416655122
2090	-494.418972068467	559.153739300367	0.0014535541045496	0.739395160931352	0.00440185986968163
2100	-494.644927777397	515.134439590145	0.0014535541045496	0.739395160931352	0.00440185986968163
2110	-494.55114402229	515.134439590145	0.0014459314904893	0.739395160931352	0.00440185986968163
2120	-495.763974513936	515.134439590145	0.00164051278049737	1.32264674329485	0.00391035628496879
2130	-494.976517225197	515.134439590145	0.00169174702943557	1.12822308442781	0.00371743365905396
2140	-496.011019422966	576.712442939691	0.00182383620203796	0.735045384485522	0.00373942995055708
2150	-494.075446493693	518.151657437175	0.00174866403659633	0.735045384485522	0.0035212940957763
2160	-494.075446493693	518.151657437175	0.00174866403659633	0.735045384485522	0.0035212940957763
2170	-494.173346879586	558.092188139923	0.00149076763263008	0.632486986780657	0.00394101420938321
2180	-498.911102204627	697.996707791381	0.00150846198456452	0.324281990395838	0.00373792672477484
2190	-497.81181949995	483.282626199391	0.00171339532853617	0.394895911189354	0.00361157270189016
2200	-494.977529135216	483.282626199391	0.0017325118579734	0.671362157839608	0.00344166076399611
2210	-494.91941235159	483.282626199391	0.0017785762253198	0.81306129196342	0.00344166076399611
2220	-494.91941235159	483.282626199391	0.0017785762253198	0.81306129196342	0.00344166076399611
2230	-494.95181883055	483.282626199391	0.0018414034433579	0.749667109164428	0.00340222144948369
2240	-494.162820206082	538.49614298272	0.00172602612547121	0.581726661861819	0.00343485687035159
2250	-494.870849646085	538.49614298272	0.00172078395072574	0.469264152730646	0.00331178529378429
2260	-494.81770157935	538.49614298272	0.00172078395072574	0.469264152730646	0.00348823055004409
2270	-494.194693298869	538.49614298272	0.00173644398654363	0.904243938514625	0.00348823055004409
2280	-495.408712534189	511.140054942513	0.00168050712760537	1.03865448540982	0.00350808059381909
2290	-495.559449953563	511.140054942513	0.00150816843357868	0.426497264566191	0.00381086904275976
2300	-495.540420407928	583.909645191833	0.001597618799019	0.486055922858082	0.00394248325770669
2310	-497.369714218472	583.909645191833	0.00162431324096325	0.52397844759074	0.00415806644212734
